case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 899,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 899,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 899,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 899,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 899,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 899,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,7,1
Case 899,7,7 7 7 7 7 7 7 0 0 0 0 0 0 0,7,2,1
Case 864,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 864,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 864,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 864,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 864,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 430,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 430,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 430,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4392,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4392,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4392,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4392,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 707,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 707,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 707,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 940,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,10,1
Case 940,10,10 10 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 940,10,10 10 10 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 599,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,10,1
Case 599,10,10 10 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 599,10,10 10 10 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 599,10,10 10 10 10 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 846,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 846,7,10 7 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 846,10,10 7 10 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 846,10,10 7 10 10 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 92,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 92,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 92,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 953,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 953,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 953,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 75,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 75,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 75,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 75,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 800,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 800,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 800,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 709,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 709,7,10 7 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 709,10,10 7 10 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 709,10,10 7 10 10 0 0 0 0 0 0 0 0 0 0,4,12,1
Case 709,19,10 7 10 10 19 0 0 0 0 0 0 0 0 0,5,2,1
Case 90,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 90,16,7 16 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 90,16,7 16 16 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4336,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4336,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4336,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4336,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4336,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 609,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 609,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 609,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 609,10,7 7 7 10 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 616,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 616,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 616,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4577,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4577,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4577,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4507,20,20 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4507,7,20 7 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 4507,11,20 7 11 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 4507,16,20 7 11 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 804,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 804,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 804,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 804,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 804,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 804,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,2,1
Case 4358,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4358,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4358,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4496,20,20 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4496,7,20 7 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 4496,11,20 7 11 0 0 0 0 0 0 0 0 0 0 0,3,11,1
Case 4496,11,20 7 11 11 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 587,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 587,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 587,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 587,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 587,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 4329,11,11 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 4329,11,11 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 4329,11,11 11 11 0 0 0 0 0 0 0 0 0 0 0,3,11,1
Case 4329,11,11 11 11 11 0 0 0 0 0 0 0 0 0 0,4,11,1
Case 4329,11,11 11 11 11 11 0 0 0 0 0 0 0 0 0,5,11,1
Case 4329,11,11 11 11 11 11 11 0 0 0 0 0 0 0 0,6,2,1
Case 4412,16,16 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 4412,16,16 16 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 4412,16,16 16 16 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 4412,16,16 16 16 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 808,16,16 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 808,16,16 16 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 808,16,16 16 16 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 808,16,16 16 16 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 651,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 651,16,7 16 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 651,7,7 16 7 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 651,16,7 16 7 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 921,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 921,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 921,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4564,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4564,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4564,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4564,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4564,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 4564,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,2,1
Case 4310,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4310,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4310,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 862,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 862,11,7 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 862,11,7 11 11 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 870,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 870,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 870,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 663,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 663,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 663,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 987,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 987,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 987,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 987,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 987,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 625,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 625,16,7 16 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 625,16,7 16 16 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 710,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 710,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 710,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 920,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 920,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 920,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 694,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 694,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 694,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4327,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4327,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4327,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4327,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4327,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 4327,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,7,1
Case 4327,7,7 7 7 7 7 7 7 0 0 0 0 0 0 0,7,2,1
Case 814,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 814,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 814,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 935,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 935,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 935,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 612,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 612,7,4 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 612,7,4 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 612,7,4 7 7 7 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 560,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,13,1
Case 560,12,7 12 0 0 0 0 0 0 0 0 0 0 0 0,2,13,1
Case 560,12,7 12 12 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 469,11,11 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 469,11,11 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 469,11,11 11 11 0 0 0 0 0 0 0 0 0 0 0,3,11,1
Case 469,11,11 11 11 11 0 0 0 0 0 0 0 0 0 0,4,11,1
Case 469,11,11 11 11 11 11 0 0 0 0 0 0 0 0 0,5,2,1
Case 4376,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4376,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4376,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 591,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,10,1
Case 591,10,10 10 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 591,7,10 10 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 591,7,10 10 7 7 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4375,16,16 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4375,7,16 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4375,7,16 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4375,7,16 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4375,7,16 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 4375,7,16 7 7 7 7 7 0 0 0 0 0 0 0 0,6,7,1
Case 4375,7,16 7 7 7 7 7 7 0 0 0 0 0 0 0,7,7,1
Case 4375,7,16 7 7 7 7 7 7 7 0 0 0 0 0 0,8,2,1
Case 9,16,16 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 9,16,16 16 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 9,4,16 16 4 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 9,16,16 16 4 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4497,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 4497,11,7 11 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 4497,16,7 11 16 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 4497,16,7 11 16 16 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4345,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4345,7,10 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4345,7,10 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 858,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 858,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 858,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 918,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 918,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 918,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 572,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 572,11,7 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 572,11,7 11 11 0 0 0 0 0 0 0 0 0 0 0,3,11,1
Case 572,11,7 11 11 11 0 0 0 0 0 0 0 0 0 0,4,11,1
Case 572,11,7 11 11 11 11 0 0 0 0 0 0 0 0 0,5,11,1
Case 572,11,7 11 11 11 11 11 0 0 0 0 0 0 0 0,6,11,1
Case 572,11,7 11 11 11 11 11 11 0 0 0 0 0 0 0,7,11,1
Case 572,11,7 11 11 11 11 11 11 11 0 0 0 0 0 0,8,2,1
Case 702,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 702,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 702,4,7 7 4 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4387,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4387,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4387,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4387,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4387,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 4387,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,7,1
Case 4387,7,7 7 7 7 7 7 7 0 0 0 0 0 0 0,7,2,1
Case 703,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 703,16,10 16 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 703,16,10 16 16 0 0 0 0 0 0 0 0 0 0 0,3,16,1
Case 703,16,10 16 16 16 0 0 0 0 0 0 0 0 0 0,4,16,1
Case 703,16,10 16 16 16 16 0 0 0 0 0 0 0 0 0,5,2,1
Case 838,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 838,7,4 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 838,7,4 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4524,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4524,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4524,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4477,3,3 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4477,7,3 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4477,7,3 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4342,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,20,1
Case 4342,14,14 14 0 0 0 0 0 0 0 0 0 0 0 0,2,20,1
Case 4342,14,14 14 14 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 971,10,10 0 0 0 0 0 0 0 0 0 0 0 0 0,1,10,1
Case 971,10,10 10 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 971,10,10 10 10 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 971,10,10 10 10 10 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 547,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,20,1
Case 547,14,14 14 0 0 0 0 0 0 0 0 0 0 0 0,2,20,1
Case 547,14,14 14 14 0 0 0 0 0 0 0 0 0 0 0,3,20,1
Case 547,14,14 14 14 14 0 0 0 0 0 0 0 0 0 0,4,16,1
Case 547,16,14 14 14 14 16 0 0 0 0 0 0 0 0 0,5,16,1
Case 547,16,14 14 14 14 16 16 0 0 0 0 0 0 0 0,6,2,1
Case 455,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 455,7,14 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 455,7,14 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 455,7,14 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 455,7,14 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 792,3,3 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 792,7,3 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 792,7,3 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 734,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 734,11,9 11 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 734,4,9 11 4 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4440,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4440,7,9 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4440,7,9 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 793,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 793,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 793,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 632,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 632,4,14 4 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 632,4,14 4 4 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 689,13,13 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 689,7,13 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 689,7,13 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 924,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 924,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 924,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 924,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 924,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,2,1
Case 4374,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4374,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4374,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4339,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4339,7,14 7 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 4339,4,14 7 4 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 4339,4,14 7 4 4 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 4579,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,8,1
Case 4579,9,9 9 0 0 0 0 0 0 0 0 0 0 0 0,2,8,1
Case 4579,9,9 9 9 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 715,11,11 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 715,11,11 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 715,11,11 11 11 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 715,4,11 11 11 4 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 715,4,11 11 11 4 4 0 0 0 0 0 0 0 0 0,5,2,1
Case 727,14,14 0 0 0 0 0 0 0 0 0 0 0 0 0,1,20,1
Case 727,14,14 14 0 0 0 0 0 0 0 0 0 0 0 0,2,20,1
Case 727,14,14 14 14 0 0 0 0 0 0 0 0 0 0 0,3,20,1
Case 727,14,14 14 14 14 0 0 0 0 0 0 0 0 0 0,4,20,1
Case 727,14,14 14 14 14 14 0 0 0 0 0 0 0 0 0,5,20,1
Case 727,14,14 14 14 14 14 14 0 0 0 0 0 0 0 0,6,20,1
Case 727,14,14 14 14 14 14 14 14 0 0 0 0 0 0 0,7,2,1
Case 4482,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,8,1
Case 4482,9,9 9 0 0 0 0 0 0 0 0 0 0 0 0,2,8,1
Case 4482,9,9 9 9 0 0 0 0 0 0 0 0 0 0 0,3,8,1
Case 4482,9,9 9 9 9 0 0 0 0 0 0 0 0 0 0,4,8,1
Case 4482,9,9 9 9 9 9 0 0 0 0 0 0 0 0 0,5,2,1
Case 973,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 973,11,9 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 973,11,9 11 11 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 973,4,9 11 11 4 0 0 0 0 0 0 0 0 0 0,4,11,1
Case 973,11,9 11 11 4 11 0 0 0 0 0 0 0 0 0,5,3,1
