case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next,Resource,Resource_prefix,Resource_k,Resource_next
Case 3434,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value_11,Value_9 Value_9 Value_11 Value_11,3,Value_11
Case 3434,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value_11,Value_9 Value_9 Value_11 Value_11 Value_11,4,Value_5
Case 3434,closed,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,[END],Value_5,Value_9 Value_9 Value_11 Value_11 Value_11 Value_5,5,[END]
Case 3435,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_1,Value_1,0,Value_1
Case 3435,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value_1,Value_1 Value_1,1,Value_6
Case 3435,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value_6,Value_1 Value_1 Value_6,2,Value_6
Case 3435,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value_6,Value_1 Value_1 Value_6 Value_6,3,Value_5
Case 3435,closed,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,[END],Value_5,Value_1 Value_1 Value_6 Value_6 Value_5,4,[END]
Case 3436,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_18,Value_18,0,Value_9
Case 3436,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_9,Value_18 Value_9,1,Value_9
Case 3436,wait,assign-seriousness take-in-charge-ticket wait,2,wait,Value_9,Value_18 Value_9 Value_9,2,Value_9
Case 3436,wait,assign-seriousness take-in-charge-ticket wait wait,3,wait,Value_9,Value_18 Value_9 Value_9 Value_9,3,Value_9
Case 3436,wait,assign-seriousness take-in-charge-ticket wait wait wait,4,wait,Value_9,Value_18 Value_9 Value_9 Value_9 Value_9,4,Value_2
Case 3436,wait,assign-seriousness take-in-charge-ticket wait wait wait wait,5,resolve-ticket,Value_2,Value_18 Value_9 Value_9 Value_9 Value_9 Value_2,5,Value_2
Case 3436,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait wait wait resolve-ticket,6,closed,Value_2,Value_18 Value_9 Value_9 Value_9 Value_9 Value_2 Value_2,6,Value_3
Case 3436,closed,assign-seriousness take-in-charge-ticket wait wait wait wait resolve-ticket closed,7,[END],Value_3,Value_18 Value_9 Value_9 Value_9 Value_9 Value_2 Value_2 Value_3,7,[END]
Case 3437,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_4,Value_4,0,Value_4
Case 3437,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_4,Value_4 Value_4,1,Value_4
Case 3437,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_4,Value_4 Value_4 Value_4,2,Value_5
Case 3437,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_4 Value_4 Value_4 Value_5,3,[END]
Case 3438,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_13
Case 3438,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_13,Value_1 Value_13,1,Value_13
Case 3438,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_13,Value_1 Value_13 Value_13,2,Value_5
Case 3438,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_1 Value_13 Value_13 Value_5,3,[END]
Case 3439,take-in-charge-ticket,take-in-charge-ticket,0,resolve-ticket,Value_1,Value_1,0,Value_1
Case 3439,resolve-ticket,take-in-charge-ticket resolve-ticket,1,take-in-charge-ticket,Value_1,Value_1 Value_1,1,Value_2
Case 3439,take-in-charge-ticket,take-in-charge-ticket resolve-ticket take-in-charge-ticket,2,wait,Value_2,Value_1 Value_1 Value_2,2,Value_1
Case 3439,wait,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,3,take-in-charge-ticket,Value_1,Value_1 Value_1 Value_2 Value_1,3,Value_1
Case 3439,take-in-charge-ticket,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,4,wait,Value_1,Value_1 Value_1 Value_2 Value_1 Value_1,4,Value_1
Case 3439,wait,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket wait,5,resolve-ticket,Value_1,Value_1 Value_1 Value_2 Value_1 Value_1 Value_1,5,Value_1
Case 3439,resolve-ticket,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket,6,closed,Value_1,Value_1 Value_1 Value_2 Value_1 Value_1 Value_1 Value_1,6,Value_3
Case 3439,closed,take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket closed,7,[END],Value_3,Value_1 Value_1 Value_2 Value_1 Value_1 Value_1 Value_1 Value_3,7,[END]
Case 3440,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_2,Value_2,0,Value_2
Case 3440,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_2,Value_2 Value_2,1,Value_2
Case 3440,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value_2,Value_2 Value_2 Value_2,2,Value_2
Case 3440,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value_2,Value_2 Value_2 Value_2 Value_2,3,Value_3
Case 3440,closed,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,[END],Value_3,Value_2 Value_2 Value_2 Value_2 Value_3,4,[END]
Case 3441,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_9,Value_9,0,Value_2
Case 3441,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_2,Value_9 Value_2,1,Value_2
Case 3441,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_2,Value_9 Value_2 Value_2,2,Value_5
Case 3441,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_9 Value_2 Value_2 Value_5,3,[END]
Case 3442,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_4,Value_4,0,Value_2
Case 3442,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_2,Value_4 Value_2,1,Value_2
Case 3442,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_2,Value_4 Value_2 Value_2,2,Value_3
Case 3442,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_3,Value_4 Value_2 Value_2 Value_3,3,[END]
Case 3443,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_2
Case 3443,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,require-upgrade,Value_2,Value_1 Value_2,1,Value_2
Case 3443,require-upgrade,assign-seriousness take-in-charge-ticket require-upgrade,2,resolve-ticket,Value_2,Value_1 Value_2 Value_2,2,Value_1
Case 3443,resolve-ticket,assign-seriousness take-in-charge-ticket require-upgrade resolve-ticket,3,[END],Value_1,Value_1 Value_2 Value_2 Value_1,3,[END]
Case 3444,assign-seriousness,assign-seriousness,0,create-sw-anomaly,Value_4,Value_4,0,Value_2
Case 3444,create-sw-anomaly,assign-seriousness create-sw-anomaly,1,create-sw-anomaly,Value_2,Value_4 Value_2,1,Value_2
Case 3444,create-sw-anomaly,assign-seriousness create-sw-anomaly create-sw-anomaly,2,resolve-sw-anomaly,Value_2,Value_4 Value_2 Value_2,2,Value_22
Case 3444,resolve-sw-anomaly,assign-seriousness create-sw-anomaly create-sw-anomaly resolve-sw-anomaly,3,resolve-sw-anomaly,Value_22,Value_4 Value_2 Value_2 Value_22,3,Value_22
Case 3444,resolve-sw-anomaly,assign-seriousness create-sw-anomaly create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly,4,require-upgrade,Value_22,Value_4 Value_2 Value_2 Value_22 Value_22,4,Value_2
Case 3444,require-upgrade,assign-seriousness create-sw-anomaly create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly require-upgrade,5,resolve-ticket,Value_2,Value_4 Value_2 Value_2 Value_22 Value_22 Value_2,5,Value_2
Case 3444,resolve-ticket,assign-seriousness create-sw-anomaly create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly require-upgrade resolve-ticket,6,closed,Value_2,Value_4 Value_2 Value_2 Value_22 Value_22 Value_2 Value_2,6,Value_3
Case 3444,closed,assign-seriousness create-sw-anomaly create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly require-upgrade resolve-ticket closed,7,[END],Value_3,Value_4 Value_2 Value_2 Value_22 Value_22 Value_2 Value_2 Value_3,7,[END]
Case 3445,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_8,Value_8,0,Value_8
Case 3445,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_8,Value_8 Value_8,1,Value_2
Case 3445,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_2,Value_8 Value_8 Value_2,2,Value_5
Case 3445,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_8 Value_8 Value_2 Value_5,3,[END]
Case 3446,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_4,Value_4,0,Value_4
Case 3446,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_4,Value_4 Value_4,1,Value_4
Case 3446,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_4,Value_4 Value_4 Value_4,2,Value_5
Case 3446,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_4 Value_4 Value_4 Value_5,3,[END]
Case 3447,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_4,Value_4,0,Value_6
Case 3447,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_6,Value_4 Value_6,1,Value_1
Case 3447,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value_1,Value_4 Value_6 Value_1,2,Value_1
Case 3447,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value_1,Value_4 Value_6 Value_1 Value_1,3,Value_5
Case 3447,closed,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket closed,4,[END],Value_5,Value_4 Value_6 Value_1 Value_1 Value_5,4,[END]
Case 3448,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_9
Case 3448,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_9,Value_1 Value_9,1,Value_9
Case 3448,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_9,Value_1 Value_9 Value_9,2,Value_3
Case 3448,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_3,Value_1 Value_9 Value_9 Value_3,3,[END]
Case 3449,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_1,Value_1,0,Value_1
Case 3449,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value_1,Value_1 Value_1,1,Value_2
Case 3449,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value_2,Value_1 Value_1 Value_2,2,Value_2
Case 3449,wait,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,resolve-ticket,Value_2,Value_1 Value_1 Value_2 Value_2,3,Value_2
Case 3449,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,4,closed,Value_2,Value_1 Value_1 Value_2 Value_2 Value_2,4,Value_3
Case 3449,closed,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket closed,5,[END],Value_3,Value_1 Value_1 Value_2 Value_2 Value_2 Value_3,5,[END]
Case 3450,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_2,Value_2,0,Value_2
Case 3450,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_2,Value_2 Value_2,1,Value_2
Case 3450,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value_2,Value_2 Value_2 Value_2,2,Value_2
Case 3450,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value_2,Value_2 Value_2 Value_2 Value_2,3,Value_2
Case 3450,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket,Value_2,Value_2 Value_2 Value_2 Value_2 Value_2,4,Value_10
Case 3450,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,resolve-ticket,Value_10,Value_2 Value_2 Value_2 Value_2 Value_2 Value_10,5,Value_7
Case 3450,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,closed,Value_7,Value_2 Value_2 Value_2 Value_2 Value_2 Value_10 Value_7,6,Value_5
Case 3450,closed,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,7,[END],Value_5,Value_2 Value_2 Value_2 Value_2 Value_2 Value_10 Value_7 Value_5,7,[END]
Case 3451,insert-ticket,insert-ticket,0,assign-seriousness,Value_8,Value_8,0,Value_8
Case 3451,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value_8,Value_8 Value_8,1,Value_13
Case 3451,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value_13,Value_8 Value_8 Value_13,2,Value_13
Case 3451,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value_13,Value_8 Value_8 Value_13 Value_13,3,Value_5
Case 3451,closed,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket closed,4,[END],Value_5,Value_8 Value_8 Value_13 Value_13 Value_5,4,[END]
Case 3452,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_7,Value_7,0,Value_19
Case 3452,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_19,Value_7 Value_19,1,Value_19
Case 3452,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_19,Value_7 Value_19 Value_19,2,Value_5
Case 3452,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_7 Value_19 Value_19 Value_5,3,[END]
Case 3453,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_8,Value_8,0,Value_8
Case 3453,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value_8,Value_8 Value_8,1,Value_8
Case 3453,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value_8,Value_8 Value_8 Value_8,2,Value_2
Case 3453,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value_2,Value_8 Value_8 Value_8 Value_2,3,Value_5
Case 3453,closed,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,[END],Value_5,Value_8 Value_8 Value_8 Value_2 Value_5,4,[END]
Case 3454,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_9,Value_9,0,Value_2
Case 3454,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value_2,Value_9 Value_2,1,Value_14
Case 3454,take-in-charge-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait,Value_14,Value_9 Value_2 Value_14,2,Value_14
Case 3454,wait,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket,Value_14,Value_9 Value_2 Value_14 Value_14,3,Value_14
Case 3454,resolve-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed,Value_14,Value_9 Value_2 Value_14 Value_14 Value_14,4,Value_3
Case 3454,closed,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket closed,5,[END],Value_3,Value_9 Value_2 Value_14 Value_14 Value_14 Value_3,5,[END]
Case 3455,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_13,Value_13,0,Value_13
Case 3455,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_13,Value_13 Value_13,1,Value_13
Case 3455,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_13,Value_13 Value_13 Value_13,2,Value_5
Case 3455,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_13 Value_13 Value_13 Value_5,3,[END]
Case 3456,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_9,Value_9,0,Value_9
Case 3456,assign-seriousness,assign-seriousness assign-seriousness,1,assign-seriousness,Value_9,Value_9 Value_9,1,Value_9
Case 3456,assign-seriousness,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket,Value_9,Value_9 Value_9 Value_9,2,Value_6
Case 3456,take-in-charge-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket,Value_6,Value_9 Value_9 Value_9 Value_6,3,Value_6
Case 3456,resolve-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed,Value_6,Value_9 Value_9 Value_9 Value_6 Value_6,4,Value_5
Case 3456,closed,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,5,[END],Value_5,Value_9 Value_9 Value_9 Value_6 Value_6 Value_5,5,[END]
Case 3457,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_2,Value_2,0,Value_2
Case 3457,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_2,Value_2 Value_2,1,Value_2
Case 3457,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value_2,Value_2 Value_2 Value_2,2,Value_2
Case 3457,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value_2,Value_2 Value_2 Value_2 Value_2,3,Value_2
Case 3457,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value_2,Value_2 Value_2 Value_2 Value_2 Value_2,4,Value_5
Case 3457,closed,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,[END],Value_5,Value_2 Value_2 Value_2 Value_2 Value_2 Value_5,5,[END]
Case 3458,assign-seriousness,assign-seriousness,0,resolve-ticket,Value_4,Value_4,0,Value_4
Case 3458,resolve-ticket,assign-seriousness resolve-ticket,1,closed,Value_4,Value_4 Value_4,1,Value_5
Case 3458,closed,assign-seriousness resolve-ticket closed,2,[END],Value_5,Value_4 Value_4 Value_5,2,[END]
Case 3459,insert-ticket,insert-ticket,0,assign-seriousness,Value_15,Value_15,0,Value_16
Case 3459,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value_16,Value_15 Value_16,1,Value_2
Case 3459,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value_2,Value_15 Value_16 Value_2,2,Value_2
Case 3459,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value_2,Value_15 Value_16 Value_2 Value_2,3,Value_5
Case 3459,closed,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket closed,4,[END],Value_5,Value_15 Value_16 Value_2 Value_2 Value_5,4,[END]
Case 3460,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_2,Value_2,0,Value_2
Case 3460,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_2,Value_2 Value_2,1,Value_2
Case 3460,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_2,Value_2 Value_2 Value_2,2,Value_5
Case 3460,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_2 Value_2 Value_2 Value_5,3,[END]
Case 3461,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_1
Case 3461,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_1,Value_1 Value_1,1,Value_1
Case 3461,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_1,Value_1 Value_1 Value_1,2,Value_5
Case 3461,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_1 Value_1 Value_1 Value_5,3,[END]
Case 3462,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_14,Value_14,0,Value_14
Case 3462,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_14,Value_14 Value_14,1,Value_14
Case 3462,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value_14,Value_14 Value_14 Value_14,2,Value_14
Case 3462,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value_14,Value_14 Value_14 Value_14 Value_14,3,Value_3
Case 3462,closed,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,[END],Value_3,Value_14 Value_14 Value_14 Value_14 Value_3,4,[END]
Case 3463,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_9,Value_9,0,Value_14
Case 3463,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_14,Value_9 Value_14,1,Value_14
Case 3463,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_14,Value_9 Value_14 Value_14,2,Value_5
Case 3463,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_9 Value_14 Value_14 Value_5,3,[END]
Case 3464,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_1
Case 3464,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_1,Value_1 Value_1,1,Value_1
Case 3464,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value_1,Value_1 Value_1 Value_1,2,Value_1
Case 3464,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value_1,Value_1 Value_1 Value_1 Value_1,3,Value_1
Case 3464,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value_1,Value_1 Value_1 Value_1 Value_1 Value_1,4,Value_5
Case 3464,closed,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,[END],Value_5,Value_1 Value_1 Value_1 Value_1 Value_1 Value_5,5,[END]
Case 3465,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_9
Case 3465,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_9,Value_1 Value_9,1,Value_9
Case 3465,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value_9,Value_1 Value_9 Value_9,2,Value_9
Case 3465,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value_9,Value_1 Value_9 Value_9 Value_9,3,Value_3
Case 3465,closed,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,[END],Value_3,Value_1 Value_9 Value_9 Value_9 Value_3,4,[END]
Case 3466,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_13,Value_13,0,Value_9
