case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next
Case 9,insert-ticket,insert-ticket,0,assign-seriousness
Case 9,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 9,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 9,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 10,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 10,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 10,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 11,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 11,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 11,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 12,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 12,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 12,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 13,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 13,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 13,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 14,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 14,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 14,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 15,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 15,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 15,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 15,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 16,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 16,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 16,take-in-charge-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 16,resolve-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed
Case 17,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 17,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 17,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 18,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 18,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 18,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 18,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 19,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 19,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 19,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 20,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 20,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 20,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 20,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 21,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 21,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 21,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 22,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 22,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 22,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 22,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 23,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 23,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 23,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 24,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 24,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 24,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 25,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 25,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 25,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 26,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 26,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 26,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 26,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 26,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 27,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 27,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 27,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 28,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 28,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 28,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade
Case 28,require-upgrade,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,require-upgrade
Case 28,require-upgrade,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade require-upgrade,4,resolve-ticket
Case 29,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 29,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 29,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 30,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 30,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 30,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 31,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 31,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 31,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade
Case 31,require-upgrade,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,resolve-ticket
Case 31,resolve-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade resolve-ticket,4,closed
Case 32,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 32,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 32,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 33,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 33,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 33,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 34,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 34,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 34,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 34,wait,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 34,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 35,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 35,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 36,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 36,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 36,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 37,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 37,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 37,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 37,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,take-in-charge-ticket
Case 37,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket,4,wait
Case 37,wait,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait,5,take-in-charge-ticket
Case 37,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,6,resolve-ticket
Case 37,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,7,closed
Case 38,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 38,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 38,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 39,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 39,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 39,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 39,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 40,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 40,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 40,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 41,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 41,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 41,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 42,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 42,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 42,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 43,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 43,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 43,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 44,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 44,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 44,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 45,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 45,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 45,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 46,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 46,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 46,take-in-charge-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait
Case 46,wait,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket
Case 46,resolve-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed
Case 47,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 47,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 47,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 48,insert-ticket,insert-ticket,0,assign-seriousness
Case 48,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 48,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 48,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 49,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 49,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 49,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 49,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 50,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 50,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 50,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 50,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 51,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 51,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 51,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 51,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 52,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 52,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 52,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 53,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 53,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 53,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 53,wait,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 53,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 53,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 54,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 54,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 54,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 55,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 55,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 55,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 55,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 56,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 56,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 57,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 57,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 57,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 58,assign-seriousness,assign-seriousness,0,create-sw-anomaly
Case 58,create-sw-anomaly,assign-seriousness create-sw-anomaly,1,require-upgrade
Case 58,require-upgrade,assign-seriousness create-sw-anomaly require-upgrade,2,resolve-ticket
Case 58,resolve-ticket,assign-seriousness create-sw-anomaly require-upgrade resolve-ticket,3,closed
Case 59,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 59,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 59,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 59,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 60,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 60,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 60,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 60,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 60,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 61,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 61,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 61,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 62,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 62,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 63,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 63,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 63,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 64,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 64,assign-seriousness,assign-seriousness assign-seriousness,1,wait
Case 64,wait,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket
Case 64,take-in-charge-ticket,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,wait
Case 64,wait,assign-seriousness assign-seriousness wait take-in-charge-ticket wait,4,take-in-charge-ticket
Case 64,take-in-charge-ticket,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 64,resolve-ticket,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 65,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 65,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 65,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 65,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 66,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 66,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 66,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 67,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 67,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 67,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 68,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 68,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 68,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 69,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 69,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 69,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 70,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 70,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 70,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 70,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 71,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 71,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 71,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 72,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 72,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 72,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 73,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 73,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 74,resolve-ticket,resolve-ticket,0,closed
Case 75,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 75,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 75,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 75,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 76,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 76,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 77,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 77,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 77,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 77,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 78,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 78,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 78,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 79,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 79,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 79,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 79,wait,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 79,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 80,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 80,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 80,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 81,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 81,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 81,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 81,wait,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 81,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 81,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 82,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 82,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 82,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 82,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 83,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 83,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 83,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 83,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 84,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 84,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 84,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 85,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 85,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 85,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 86,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 86,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 86,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 86,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 87,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 87,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 87,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 87,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,take-in-charge-ticket
Case 87,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket,4,wait
Case 87,wait,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait,5,resolve-ticket
Case 87,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait resolve-ticket,6,closed
Case 88,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 88,assign-seriousness,assign-seriousness assign-seriousness,1,wait
Case 88,wait,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket
Case 88,take-in-charge-ticket,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,resolve-ticket
Case 88,resolve-ticket,assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket,4,closed
Case 89,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 89,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 89,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 90,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 90,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 90,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 91,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 91,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 91,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 92,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 92,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 92,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 93,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 93,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
