case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature,day_of_week,day_of_week##Prefix,day_of_week##Prefix Length,day_of_week##Next-Feature,day_of_week##Last-Feature,hour_of_day,hour_of_day##Prefix,hour_of_day##Prefix Length,hour_of_day##Next-Feature,hour_of_day##Last-Feature
Case 2018,84018,0 0 0 0 0 0 0 0 0 0 1 11 7888 84018,4,98073,2700689,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,4,1,3,6,0 0 0 0 0 0 0 0 0 0 7 7 9 6,4,10,13
Case 2018,98073,0 0 0 0 0 0 0 0 0 1 11 7888 84018 98073,5,2700689,2700689,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,5,3,3,10,0 0 0 0 0 0 0 0 0 7 7 9 6 10,5,13,13
Case 2019,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,13,3802065,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,6,13,0 0 0 0 0 0 0 0 0 0 0 0 0 13,1,13,13
Case 2019,13,0 0 0 0 0 0 0 0 0 0 0 0 1 13,2,611,3802065,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,6,13,0 0 0 0 0 0 0 0 0 0 0 0 13 13,2,13,13
Case 2019,611,0 0 0 0 0 0 0 0 0 0 0 1 13 611,3,247145,3802065,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,0,6,13,0 0 0 0 0 0 0 0 0 0 0 13 13 13,3,9,13
Case 2019,247145,0 0 0 0 0 0 0 0 0 0 1 13 611 247145,4,247151,3802065,0,0 0 0 0 0 0 0 0 0 0 4 4 4 0,4,0,6,9,0 0 0 0 0 0 0 0 0 0 13 13 13 9,4,9,13
Case 2019,247151,0 0 0 0 0 0 0 0 0 1 13 611 247145 247151,5,3802065,3802065,0,0 0 0 0 0 0 0 0 0 4 4 4 0 0,5,6,6,9,0 0 0 0 0 0 0 0 0 13 13 13 9 9,5,13,13
Case 202,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1464,3449352,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,14,12
Case 202,1464,0 0 0 0 0 0 0 0 0 0 0 0 1 1464,2,2677,3449352,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,2,14,0 0 0 0 0 0 0 0 0 0 0 0 14 14,2,15,12
Case 202,2677,0 0 0 0 0 0 0 0 0 0 0 1 1464 2677,3,2153332,3449352,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,1,2,15,0 0 0 0 0 0 0 0 0 0 0 14 14 15,3,12,12
Case 202,2153332,0 0 0 0 0 0 0 0 0 0 1 1464 2677 2153332,4,3449352,3449352,1,0 0 0 0 0 0 0 0 0 0 4 4 4 1,4,2,2,12,0 0 0 0 0 0 0 0 0 0 14 14 15 12,4,12,12
Case 2020,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,500454,5097821,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,0,4,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,9,14
Case 2020,500454,0 0 0 0 0 0 0 0 0 0 0 0 1 500454,2,500460,5097821,0,0 0 0 0 0 0 0 0 0 0 0 0 1 0,2,0,4,9,0 0 0 0 0 0 0 0 0 0 0 0 14 9,2,9,14
Case 2020,500460,0 0 0 0 0 0 0 0 0 0 0 1 500454 500460,3,5097821,5097821,0,0 0 0 0 0 0 0 0 0 0 0 1 0 0,3,4,4,9,0 0 0 0 0 0 0 0 0 0 0 14 9 9,3,14,14
Case 2021,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,4923,4560194,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,1,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,16,9
Case 2021,4923,0 0 0 0 0 0 0 0 0 0 0 0 1 4923,2,5045,4560194,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,1,16,0 0 0 0 0 0 0 0 0 0 0 0 15 16,2,16,9
Case 2021,5045,0 0 0 0 0 0 0 0 0 0 0 1 4923 5045,3,3264177,4560194,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,0,1,16,0 0 0 0 0 0 0 0 0 0 0 15 16 16,3,9,9
Case 2021,3264177,0 0 0 0 0 0 0 0 0 0 1 4923 5045 3264177,4,4560194,4560194,0,0 0 0 0 0 0 0 0 0 0 4 4 4 0,4,1,1,9,0 0 0 0 0 0 0 0 0 0 15 16 16 9,4,9,9
Case 2022,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,113,4830148,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,4,12,0 0 0 0 0 0 0 0 0 0 0 0 0 12,1,12,10
Case 2022,113,0 0 0 0 0 0 0 0 0 0 0 0 1 113,2,1106,4830148,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,4,12,0 0 0 0 0 0 0 0 0 0 0 0 12 12,2,12,10
Case 2022,1106,0 0 0 0 0 0 0 0 0 0 0 1 113 1106,3,1264,4830148,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,4,4,12,0 0 0 0 0 0 0 0 0 0 0 12 12 12,3,12,10
Case 2022,1264,0 0 0 0 0 0 0 0 0 0 1 113 1106 1264,4,3534136,4830148,4,0 0 0 0 0 0 0 0 0 0 4 4 4 4,4,3,4,12,0 0 0 0 0 0 0 0 0 0 12 12 12 12,4,10,10
Case 2022,3534136,0 0 0 0 0 0 0 0 0 1 113 1106 1264 3534136,5,4830148,4830148,3,0 0 0 0 0 0 0 0 0 4 4 4 4 3,5,4,4,10,0 0 0 0 0 0 0 0 0 12 12 12 12 10,5,10,10
Case 2023,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,118,2851258,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,16,0 0 0 0 0 0 0 0 0 0 0 0 0 16,1,17,17
Case 2023,118,0 0 0 0 0 0 0 0 0 0 0 0 1 118,2,118,2851258,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,2,17,0 0 0 0 0 0 0 0 0 0 0 0 16 17,2,17,17
Case 2023,118,0 0 0 0 0 0 0 0 0 0 0 1 118 118,3,2851258,2851258,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,2,2,17,0 0 0 0 0 0 0 0 0 0 0 16 17 17,3,17,17
Case 2024,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1061932,3126969,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,2,5,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,15,12
Case 2024,1061932,0 0 0 0 0 0 0 0 0 0 0 0 1 1061932,2,1556961,3126969,2,0 0 0 0 0 0 0 0 0 0 0 0 4 2,2,1,5,15,0 0 0 0 0 0 0 0 0 0 0 0 8 15,2,8,12
Case 2024,1556961,0 0 0 0 0 0 0 0 0 0 0 1 1061932 1556961,3,1830957,3126969,1,0 0 0 0 0 0 0 0 0 0 0 4 2 1,3,4,5,8,0 0 0 0 0 0 0 0 0 0 0 8 15 8,3,12,12
Case 2024,1830957,0 0 0 0 0 0 0 0 0 0 1 1061932 1556961 1830957,4,3126969,3126969,4,0 0 0 0 0 0 0 0 0 0 4 2 1 4,4,5,5,12,0 0 0 0 0 0 0 0 0 0 8 15 8 12,4,12,12
Case 2025,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,652,5098008,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,6,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,8,8
Case 2025,652,0 0 0 0 0 0 0 0 0 0 0 0 1 652,2,362251,5098008,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,0,6,8,0 0 0 0 0 0 0 0 0 0 0 0 8 8,2,13,8
Case 2025,362251,0 0 0 0 0 0 0 0 0 0 0 1 652 362251,3,362251,5098008,0,0 0 0 0 0 0 0 0 0 0 0 3 3 0,3,0,6,13,0 0 0 0 0 0 0 0 0 0 0 8 8 13,3,13,8
Case 2025,362251,0 0 0 0 0 0 0 0 0 0 1 652 362251 362251,4,5098008,5098008,0,0 0 0 0 0 0 0 0 0 0 3 3 0 0,4,6,6,13,0 0 0 0 0 0 0 0 0 0 8 8 13 13,4,8,8
Case 2026,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1925,3801996,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,3,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,11,11
Case 2026,1925,0 0 0 0 0 0 0 0 0 0 0 0 1 1925,2,525246,3801996,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,0,3,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,13,11
Case 2026,525246,0 0 0 0 0 0 0 0 0 0 0 1 1925 525246,3,3801996,3801996,0,0 0 0 0 0 0 0 0 0 0 0 1 1 0,3,3,3,13,0 0 0 0 0 0 0 0 0 0 0 11 11 13,3,11,11
Case 2027,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,75165,3533921,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,2,13,0 0 0 0 0 0 0 0 0 0 0 0 0 13,1,10,11
Case 2027,75165,0 0 0 0 0 0 0 0 0 0 0 0 1 75165,2,952709,3533921,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,0,2,10,0 0 0 0 0 0 0 0 0 0 0 0 13 10,2,14,11
Case 2027,952709,0 0 0 0 0 0 0 0 0 0 0 1 75165 952709,3,1634301,3533921,0,0 0 0 0 0 0 0 0 0 0 0 3 4 0,3,1,2,14,0 0 0 0 0 0 0 0 0 0 0 13 10 14,3,11,11
Case 2027,1634301,0 0 0 0 0 0 0 0 0 0 1 75165 952709 1634301,4,3533921,3533921,1,0 0 0 0 0 0 0 0 0 0 3 4 0 1,4,2,2,11,0 0 0 0 0 0 0 0 0 0 13 10 14 11,4,11,11
Case 2028,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,15,2851549,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,16,0 0 0 0 0 0 0 0 0 0 0 0 0 16,1,16,16
Case 2028,15,0 0 0 0 0 0 0 0 0 0 0 0 1 15,2,32,2851549,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,2,16,0 0 0 0 0 0 0 0 0 0 0 0 16 16,2,16,16
Case 2028,32,0 0 0 0 0 0 0 0 0 0 0 1 15 32,3,2851549,2851549,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,2,2,16,0 0 0 0 0 0 0 0 0 0 0 16 16 16,3,16,16
Case 2029,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,2584860,4227139,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,3,1,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,13,13
Case 2029,2584860,0 0 0 0 0 0 0 0 0 0 0 0 1 2584860,2,2931130,4227139,3,0 0 0 0 0 0 0 0 0 0 0 0 1 3,2,0,1,13,0 0 0 0 0 0 0 0 0 0 0 0 15 13,2,13,13
Case 2029,2931130,0 0 0 0 0 0 0 0 0 0 0 1 2584860 2931130,3,4227139,4227139,0,0 0 0 0 0 0 0 0 0 0 0 1 3 0,3,1,1,13,0 0 0 0 0 0 0 0 0 0 0 15 13 13,3,13,13
Case 203,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,7479,2851335,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,12,10
Case 203,7479,0 0 0 0 0 0 0 0 0 0 0 0 1 7479,2,423975,2851335,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,2,2,12,0 0 0 0 0 0 0 0 0 0 0 0 10 12,2,8,10
Case 203,423975,0 0 0 0 0 0 0 0 0 0 0 1 7479 423975,3,2851335,2851335,2,0 0 0 0 0 0 0 0 0 0 0 4 4 2,3,2,2,8,0 0 0 0 0 0 0 0 0 0 0 10 12 8,3,10,10
Case 2030,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,6431,4144095,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,2,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,13,10
Case 2030,6431,0 0 0 0 0 0 0 0 0 0 0 0 1 6431,2,81728,4144095,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,4,2,13,0 0 0 0 0 0 0 0 0 0 0 0 11 13,2,10,10
Case 2030,81728,0 0 0 0 0 0 0 0 0 0 0 1 6431 81728,3,4144095,4144095,4,0 0 0 0 0 0 0 0 0 0 0 3 3 4,3,2,2,10,0 0 0 0 0 0 0 0 0 0 0 11 13 10,3,10,10
Case 2031,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,602228,3198739,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,4,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,7,8
Case 2031,602228,0 0 0 0 0 0 0 0 0 0 0 0 1 602228,2,1902726,3198739,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,3,4,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,8,8
Case 2031,1902726,0 0 0 0 0 0 0 0 0 0 0 1 602228 1902726,3,3198739,3198739,3,0 0 0 0 0 0 0 0 0 0 0 2 2 3,3,4,4,8,0 0 0 0 0 0 0 0 0 0 0 7 7 8,3,8,8
Case 2032,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,163187,2675329,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,3,4,16,0 0 0 0 0 0 0 0 0 0 0 0 0 16,1,13,15
Case 2032,163187,0 0 0 0 0 0 0 0 0 0 0 0 1 163187,2,748205,2675329,3,0 0 0 0 0 0 0 0 0 0 0 0 1 3,2,3,4,13,0 0 0 0 0 0 0 0 0 0 0 0 16 13,2,7,15
Case 2032,748205,0 0 0 0 0 0 0 0 0 0 0 1 163187 748205,3,2675329,2675329,3,0 0 0 0 0 0 0 0 0 0 0 1 3 3,3,4,4,7,0 0 0 0 0 0 0 0 0 0 0 16 13 7,3,15,15
Case 2033,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,80936,3371972,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,0,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,7,9
Case 2033,80936,0 0 0 0 0 0 0 0 0 0 0 0 1 80936,2,2175400,3371972,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,0,0,7,0 0 0 0 0 0 0 0 0 0 0 0 8 7,2,13,9
Case 2033,2175400,0 0 0 0 0 0 0 0 0 0 0 1 80936 2175400,3,2175404,3371972,0,0 0 0 0 0 0 0 0 0 0 0 3 4 0,3,0,0,13,0 0 0 0 0 0 0 0 0 0 0 8 7 13,3,13,9
Case 2033,2175404,0 0 0 0 0 0 0 0 0 0 1 80936 2175400 2175404,4,3371972,3371972,0,0 0 0 0 0 0 0 0 0 0 3 4 0 0,4,0,0,13,0 0 0 0 0 0 0 0 0 0 8 7 13 13,4,9,9
Case 2034,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,20,3283713,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,3,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,10,10
Case 2034,20,0 0 0 0 0 0 0 0 0 0 0 0 1 20,2,174586,3283713,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,2,3,10,0 0 0 0 0 0 0 0 0 0 0 0 10 10,2,10,10
Case 2034,174586,0 0 0 0 0 0 0 0 0 0 0 1 20 174586,3,3283713,3283713,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,3,3,3,10,0 0 0 0 0 0 0 0 0 0 0 10 10 10,3,10,10
Case 2035,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,598353,3640253,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,2,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,8,13
Case 2035,598353,0 0 0 0 0 0 0 0 0 0 0 0 1 598353,2,598376,3640253,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,2,2,8,0 0 0 0 0 0 0 0 0 0 0 0 10 8,2,8,13
Case 2035,598376,0 0 0 0 0 0 0 0 0 0 0 1 598353 598376,3,598394,3640253,2,0 0 0 0 0 0 0 0 0 0 0 2 2 2,3,2,2,8,0 0 0 0 0 0 0 0 0 0 0 10 8 8,3,8,13
Case 2035,598394,0 0 0 0 0 0 0 0 0 0 1 598353 598376 598394,4,2344240,3640253,2,0 0 0 0 0 0 0 0 0 0 2 2 2 2,4,1,2,8,0 0 0 0 0 0 0 0 0 0 10 8 8 8,4,13,13
Case 2035,2344240,0 0 0 0 0 0 0 0 0 1 598353 598376 598394 2344240,5,3640253,3640253,1,0 0 0 0 0 0 0 0 0 2 2 2 2 1,5,2,2,13,0 0 0 0 0 0 0 0 0 10 8 8 8 13,5,13,13
Case 2036,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,157893,3703436,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,4,3,13,0 0 0 0 0 0 0 0 0 0 0 0 0 13,1,9,10
Case 2036,157893,0 0 0 0 0 0 0 0 0 0 0 0 1 157893,2,1368350,3703436,4,0 0 0 0 0 0 0 0 0 0 0 0 2 4,2,4,3,9,0 0 0 0 0 0 0 0 0 0 0 0 13 9,2,9,10
Case 2036,1368350,0 0 0 0 0 0 0 0 0 0 0 1 157893 1368350,3,2342882,3703436,4,0 0 0 0 0 0 0 0 0 0 0 2 4 4,3,1,3,9,0 0 0 0 0 0 0 0 0 0 0 13 9 9,3,16,10
Case 2036,2342882,0 0 0 0 0 0 0 0 0 0 1 157893 1368350 2342882,4,3703436,3703436,1,0 0 0 0 0 0 0 0 0 0 2 4 4 1,4,3,3,16,0 0 0 0 0 0 0 0 0 0 13 9 9 16,4,10,10
Case 2037,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1530693,2826715,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,0,1,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,8,8
Case 2037,1530693,0 0 0 0 0 0 0 0 0 0 0 0 1 1530693,2,2826715,2826715,0,0 0 0 0 0 0 0 0 0 0 0 0 3 0,2,1,1,8,0 0 0 0 0 0 0 0 0 0 0 0 14 8,2,8,8
Case 2038,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,192317,3711869,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,3,2,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,14,8
Case 2038,192317,0 0 0 0 0 0 0 0 0 0 0 0 1 192317,2,194814,3711869,3,0 0 0 0 0 0 0 0 0 0 0 0 1 3,2,3,2,14,0 0 0 0 0 0 0 0 0 0 0 0 8 14,2,15,8
Case 2038,194814,0 0 0 0 0 0 0 0 0 0 0 1 192317 194814,3,3711869,3711869,3,0 0 0 0 0 0 0 0 0 0 0 1 3 3,3,2,2,15,0 0 0 0 0 0 0 0 0 0 0 8 14 15,3,8,8
Case 2039,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,80757,2839926,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,5,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,13,12
Case 2039,80757,0 0 0 0 0 0 0 0 0 0 0 0 1 80757,2,1543911,2839926,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,2,4,5,13,0 0 0 0 0 0 0 0 0 0 0 0 15 13,2,12,12
Case 2039,1543911,0 0 0 0 0 0 0 0 0 0 0 1 80757 1543911,3,2839926,2839926,4,0 0 0 0 0 0 0 0 0 0 0 0 1 4,3,5,5,12,0 0 0 0 0 0 0 0 0 0 0 15 13 12,3,12,12
Case 204,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,12,3802194,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,2,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,15,15
Case 204,12,0 0 0 0 0 0 0 0 0 0 0 0 1 12,2,166233,3802194,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,2,2,15,0 0 0 0 0 0 0 0 0 0 0 0 15 15,2,13,15
Case 204,166233,0 0 0 0 0 0 0 0 0 0 0 1 12 166233,3,3802194,3802194,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,3,2,2,13,0 0 0 0 0 0 0 0 0 0 0 15 15 13,3,15,15
Case 2040,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,522752,3635930,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,3,4,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,10,10
Case 2040,522752,0 0 0 0 0 0 0 0 0 0 0 0 1 522752,2,542885,3635930,3,0 0 0 0 0 0 0 0 0 0 0 0 4 3,2,3,4,10,0 0 0 0 0 0 0 0 0 0 0 0 8 10,2,15,10
Case 2040,542885,0 0 0 0 0 0 0 0 0 0 0 1 522752 542885,3,1043907,3635930,3,0 0 0 0 0 0 0 0 0 0 0 4 3 3,3,2,4,15,0 0 0 0 0 0 0 0 0 0 0 8 10 15,3,10,10
Case 2040,1043907,0 0 0 0 0 0 0 0 0 0 1 522752 542885 1043907,4,3635930,3635930,2,0 0 0 0 0 0 0 0 0 0 4 3 3 2,4,4,4,10,0 0 0 0 0 0 0 0 0 0 8 10 15 10,4,10,10
Case 2041,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,112,2692524,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,5,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,10,13
Case 2041,112,0 0 0 0 0 0 0 0 0 0 0 0 1 112,2,170,2692524,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,2,5,10,0 0 0 0 0 0 0 0 0 0 0 0 9 10,2,10,13
Case 2041,170,0 0 0 0 0 0 0 0 0 0 0 1 112 170,3,1396504,2692524,2,0 0 0 0 0 0 0 0 0 0 0 2 2 2,3,4,5,10,0 0 0 0 0 0 0 0 0 0 0 9 10 10,3,13,13
Case 2041,1396504,0 0 0 0 0 0 0 0 0 0 1 112 170 1396504,4,2692524,2692524,4,0 0 0 0 0 0 0 0 0 0 2 2 2 4,4,5,5,13,0 0 0 0 0 0 0 0 0 0 9 10 10 13,4,13,13
Case 2042,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,2228,3974832,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,5,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,9,8
Case 2042,2228,0 0 0 0 0 0 0 0 0 0 0 0 1 2228,2,2244,3974832,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,1,5,9,0 0 0 0 0 0 0 0 0 0 0 0 8 9,2,9,8
Case 2042,2244,0 0 0 0 0 0 0 0 0 0 0 1 2228 2244,3,3974832,3974832,1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,3,5,5,9,0 0 0 0 0 0 0 0 0 0 0 8 9 9,3,8,8
Case 2043,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,19,3283627,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,4,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,9,9
Case 2043,19,0 0 0 0 0 0 0 0 0 0 0 0 1 19,2,265363,3283627,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,4,4,9,0 0 0 0 0 0 0 0 0 0 0 0 9 9,2,11,9
Case 2043,265363,0 0 0 0 0 0 0 0 0 0 0 1 19 265363,3,3283627,3283627,4,0 0 0 0 0 0 0 0 0 0 0 1 1 4,3,4,4,11,0 0 0 0 0 0 0 0 0 0 0 9 9 11,3,9,9
Case 2044,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,10,2678619,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,3,16,0 0 0 0 0 0 0 0 0 0 0 0 0 16,1,16,17
Case 2044,10,0 0 0 0 0 0 0 0 0 0 0 0 1 10,2,2678619,2678619,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,3,3,16,0 0 0 0 0 0 0 0 0 0 0 0 16 16,2,17,17
Case 2045,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,77725,3891563,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,2,4,16,0 0 0 0 0 0 0 0 0 0 0 0 0 16,1,13,17
