case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature,day_of_week,day_of_week##Prefix,day_of_week##Prefix Length,day_of_week##Next-Feature,day_of_week##Last-Feature,hour_of_day,hour_of_day##Prefix,hour_of_day##Prefix Length,hour_of_day##Next-Feature,hour_of_day##Last-Feature
Case 4310,9,0 0 0 0 0 0 0 0 0 0 0 0 1 9,2,952321,3975024,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,4,4,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,8,7
Case 4310,952321,0 0 0 0 0 0 0 0 0 0 0 1 9 952321,3,3975024,3975024,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,3,4,4,8,0 0 0 0 0 0 0 0 0 0 0 7 7 8,3,7,7
Case 4311,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,7954,4147544,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,3,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,16,14
Case 4311,7954,0 0 0 0 0 0 0 0 0 0 0 0 1 7954,2,8100,4147544,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,3,16,0 0 0 0 0 0 0 0 0 0 0 0 14 16,2,16,14
Case 4311,8100,0 0 0 0 0 0 0 0 0 0 0 1 7954 8100,3,4147544,4147544,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,3,3,16,0 0 0 0 0 0 0 0 0 0 0 14 16 16,3,14,14
Case 4312,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,20,4233851,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,3,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,11,11
Case 4312,20,0 0 0 0 0 0 0 0 0 0 0 0 1 20,2,711,4233851,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,3,3,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,11,11
Case 4312,711,0 0 0 0 0 0 0 0 0 0 0 1 20 711,3,4233851,4233851,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,3,3,11,0 0 0 0 0 0 0 0 0 0 0 11 11 11,3,11,11
Case 4313,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,14,4147741,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,2,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,7,7
Case 4313,14,0 0 0 0 0 0 0 0 0 0 0 0 1 14,2,3207,4147741,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,3,2,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,8,7
Case 4313,3207,0 0 0 0 0 0 0 0 0 0 0 1 14 3207,3,4147741,4147741,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,2,2,8,0 0 0 0 0 0 0 0 0 0 0 7 7 8,3,7,7
Case 4314,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,428769,2938877,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,0,1,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,9,11
Case 4314,428769,0 0 0 0 0 0 0 0 0 0 0 0 1 428769,2,598947,2938877,0,0 0 0 0 0 0 0 0 0 0 0 0 2 0,2,2,1,9,0 0 0 0 0 0 0 0 0 0 0 0 10 9,2,9,11
Case 4314,598947,0 0 0 0 0 0 0 0 0 0 0 1 428769 598947,3,686671,2938877,2,0 0 0 0 0 0 0 0 0 0 0 2 0 2,3,3,1,9,0 0 0 0 0 0 0 0 0 0 0 10 9 9,3,9,11
Case 4314,686671,0 0 0 0 0 0 0 0 0 0 1 428769 598947 686671,4,2938877,2938877,3,0 0 0 0 0 0 0 0 0 0 2 0 2 3,4,1,1,9,0 0 0 0 0 0 0 0 0 0 10 9 9 9,4,11,11
Case 4315,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,234918,2841703,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,0,2,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,8,12
Case 4315,234918,0 0 0 0 0 0 0 0 0 0 0 0 1 234918,2,1545692,2841703,0,0 0 0 0 0 0 0 0 0 0 0 0 4 0,2,1,2,8,0 0 0 0 0 0 0 0 0 0 0 0 14 8,2,12,12
Case 4315,1545692,0 0 0 0 0 0 0 0 0 0 0 1 234918 1545692,3,2841703,2841703,1,0 0 0 0 0 0 0 0 0 0 0 4 0 1,3,2,2,12,0 0 0 0 0 0 0 0 0 0 0 14 8 12,3,12,12
Case 4316,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,13561,2764906,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,4,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,14,11
Case 4316,13561,0 0 0 0 0 0 0 0 0 0 0 0 1 13561,2,19424,2764906,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,0,4,14,0 0 0 0 0 0 0 0 0 0 0 0 11 14,2,16,11
Case 4316,19424,0 0 0 0 0 0 0 0 0 0 0 1 13561 19424,3,2764906,2764906,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3,4,4,16,0 0 0 0 0 0 0 0 0 0 0 11 14 16,3,11,11
Case 4317,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,76,3456052,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,8,8
Case 4317,76,0 0 0 0 0 0 0 0 0 0 0 0 1 76,2,77,3456052,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,4,2,8,0 0 0 0 0 0 0 0 0 0 0 0 7 8,2,8,8
Case 4317,77,0 0 0 0 0 0 0 0 0 0 0 1 76 77,3,3456052,3456052,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,2,2,8,0 0 0 0 0 0 0 0 0 0 0 7 8 8,3,8,8
Case 4318,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,47,2678359,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,3,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,11,11
Case 4318,47,0 0 0 0 0 0 0 0 0 0 0 0 1 47,2,19389,2678359,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,0,3,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,16,11
Case 4318,19389,0 0 0 0 0 0 0 0 0 0 0 1 47 19389,3,2678359,2678359,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3,3,3,16,0 0 0 0 0 0 0 0 0 0 0 11 11 16,3,11,11
Case 4319,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,79011,3801726,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,3,4,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,7,9
Case 4319,79011,0 0 0 0 0 0 0 0 0 0 0 0 1 79011,2,79614,3801726,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,3,4,7,0 0 0 0 0 0 0 0 0 0 0 0 9 7,2,7,9
Case 4319,79614,0 0 0 0 0 0 0 0 0 0 0 1 79011 79614,3,3801726,3801726,3,0 0 0 0 0 0 0 0 0 0 0 2 3 3,3,4,4,7,0 0 0 0 0 0 0 0 0 0 0 9 7 7,3,9,9
Case 432,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,17850,2854886,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,2,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,13,9
Case 432,17850,0 0 0 0 0 0 0 0 0 0 0 0 1 17850,2,515372,2854886,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,3,2,13,0 0 0 0 0 0 0 0 0 0 0 0 8 13,2,7,9
Case 432,515372,0 0 0 0 0 0 0 0 0 0 0 1 17850 515372,3,2854886,2854886,3,0 0 0 0 0 0 0 0 0 0 0 4 4 3,3,2,2,7,0 0 0 0 0 0 0 0 0 0 0 8 13 7,3,9,9
Case 4320,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,679723,4150985,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,2,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,12,17
Case 4320,679723,0 0 0 0 0 0 0 0 0 0 0 0 1 679723,2,684075,4150985,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,4,2,12,0 0 0 0 0 0 0 0 0 0 0 0 15 12,2,13,17
Case 4320,684075,0 0 0 0 0 0 0 0 0 0 0 1 679723 684075,3,4150985,4150985,4,0 0 0 0 0 0 0 0 0 0 0 3 4 4,3,2,2,13,0 0 0 0 0 0 0 0 0 0 0 15 12 13,3,17,17
Case 4321,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,82539,3805626,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,5,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,13,16
Case 4321,82539,0 0 0 0 0 0 0 0 0 0 0 0 1 82539,2,83453,3805626,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,4,5,13,0 0 0 0 0 0 0 0 0 0 0 0 15 13,2,14,16
Case 4321,83453,0 0 0 0 0 0 0 0 0 0 0 1 82539 83453,3,3805626,3805626,4,0 0 0 0 0 0 0 0 0 0 0 3 4 4,3,5,5,14,0 0 0 0 0 0 0 0 0 0 0 15 13 14,3,16,16
Case 4322,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1882,2678744,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,5,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,8,8
Case 4322,1882,0 0 0 0 0 0 0 0 0 0 0 0 1 1882,2,5800,2678744,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,2,5,8,0 0 0 0 0 0 0 0 0 0 0 0 8 8,2,9,8
Case 4322,5800,0 0 0 0 0 0 0 0 0 0 0 1 1882 5800,3,6984,2678744,2,0 0 0 0 0 0 0 0 0 0 0 2 2 2,3,2,5,9,0 0 0 0 0 0 0 0 0 0 0 8 8 9,3,10,8
Case 4322,6984,0 0 0 0 0 0 0 0 0 0 1 1882 5800 6984,4,2678744,2678744,2,0 0 0 0 0 0 0 0 0 0 2 2 2 2,4,5,5,10,0 0 0 0 0 0 0 0 0 0 8 8 9 10,4,8,8
Case 4323,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,319495,3105165,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,4,1,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,7,13
Case 4323,319495,0 0 0 0 0 0 0 0 0 0 0 0 1 319495,2,858902,3105165,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,2,3,1,7,0 0 0 0 0 0 0 0 0 0 0 0 14 7,2,13,13
Case 4323,858902,0 0 0 0 0 0 0 0 0 0 0 1 319495 858902,3,1278656,3105165,3,0 0 0 0 0 0 0 0 0 0 0 0 4 3,3,1,1,13,0 0 0 0 0 0 0 0 0 0 0 14 7 13,3,10,13
Case 4323,1278656,0 0 0 0 0 0 0 0 0 0 1 319495 858902 1278656,4,3105165,3105165,1,0 0 0 0 0 0 0 0 0 0 0 4 3 1,4,1,1,10,0 0 0 0 0 0 0 0 0 0 14 7 13 10,4,13,13
Case 4324,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,3284695,4584864,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,0,1,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,8,9
Case 4324,3284695,0 0 0 0 0 0 0 0 0 0 0 0 1 3284695,2,3288847,4584864,0,0 0 0 0 0 0 0 0 0 0 0 0 4 0,2,0,1,8,0 0 0 0 0 0 0 0 0 0 0 0 8 8,2,9,9
Case 4324,3288847,0 0 0 0 0 0 0 0 0 0 0 1 3284695 3288847,3,4584864,4584864,0,0 0 0 0 0 0 0 0 0 0 0 4 0 0,3,1,1,9,0 0 0 0 0 0 0 0 0 0 0 8 8 9,3,9,9
Case 4325,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1630770,3213156,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,0,4,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,7,15
Case 4325,1630770,0 0 0 0 0 0 0 0 0 0 0 0 1 1630770,2,1917138,3213156,0,0 0 0 0 0 0 0 0 0 0 0 0 2 0,2,3,4,7,0 0 0 0 0 0 0 0 0 0 0 0 10 7,2,15,15
Case 4325,1917138,0 0 0 0 0 0 0 0 0 0 0 1 1630770 1917138,3,3213156,3213156,3,0 0 0 0 0 0 0 0 0 0 0 2 0 3,3,4,4,15,0 0 0 0 0 0 0 0 0 0 0 10 7 15,3,15,15
Case 4326,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,228415,4641844,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,5,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,7,9
Case 4326,228415,0 0 0 0 0 0 0 0 0 0 0 0 1 228415,2,255848,4641844,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,2,3,5,7,0 0 0 0 0 0 0 0 0 0 0 0 15 7,2,14,9
Case 4326,255848,0 0 0 0 0 0 0 0 0 0 0 1 228415 255848,3,3345834,4641844,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,3,4,5,14,0 0 0 0 0 0 0 0 0 0 0 15 7 14,3,9,9
Case 4326,3345834,0 0 0 0 0 0 0 0 0 0 1 228415 255848 3345834,4,4641844,4641844,4,0 0 0 0 0 0 0 0 0 0 0 3 3 4,4,5,5,9,0 0 0 0 0 0 0 0 0 0 15 7 14 9,4,9,9
