case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next,Resource,Resource_prefix,Resource_k,Resource_next
Case 1157,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1157,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 1 Value 2,1,Value 2
Case 1157,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 1 Value 2 Value 2,2,Value 5
Case 1158,assign-seriousness,assign-seriousness,0,assign-seriousness,Value 8,Value 8,0,Value 8
Case 1158,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 8,Value 8 Value 8,1,Value 11
Case 1158,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value 11,Value 8 Value 8 Value 11,2,Value 11
Case 1158,wait,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket,Value 11,Value 8 Value 8 Value 11 Value 11,3,Value 11
Case 1158,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket,Value 11,Value 8 Value 8 Value 11 Value 11 Value 11,4,Value 11
Case 1158,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed,Value 11,Value 8 Value 8 Value 11 Value 11 Value 11 Value 11,5,Value 5
Case 1159,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 18,Value 18,0,Value 4
Case 1159,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 4,Value 18 Value 4,1,Value 4
Case 1159,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 4,Value 18 Value 4 Value 4,2,Value 4
Case 1159,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 4,Value 18 Value 4 Value 4 Value 4,3,Value 3
Case 1160,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 13,Value 13,0,Value 8
Case 1160,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8,Value 13 Value 8,1,Value 17
Case 1160,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 17,Value 13 Value 8 Value 17,2,Value 5
Case 1161,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 4
Case 1161,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4,Value 1 Value 4,1,Value 4
Case 1161,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4,Value 1 Value 4 Value 4,2,Value 5
Case 1162,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 2
Case 1162,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 8 Value 2,1,Value 2
Case 1162,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 8 Value 2 Value 2,2,Value 5
Case 1163,assign-seriousness,assign-seriousness,0,resolve-ticket,Value 1,Value 1,0,Value 1
Case 1163,resolve-ticket,assign-seriousness resolve-ticket,1,closed,Value 1,Value 1 Value 1,1,Value 5
Case 1164,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 4
Case 1164,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4,Value 1 Value 4,1,Value 4
Case 1164,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4,Value 1 Value 4 Value 4,2,Value 3
Case 1165,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 14,Value 14,0,Value 14
Case 1165,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 14,Value 14 Value 14,1,Value 14
Case 1165,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 14,Value 14 Value 14 Value 14,2,Value 5
Case 1166,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 9,Value 9,0,Value 2
Case 1166,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 9 Value 2,1,Value 2
Case 1166,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 9 Value 2 Value 2,2,Value 5
Case 1167,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 8
Case 1167,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 8,Value 8 Value 8,1,Value 2
Case 1167,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2,Value 8 Value 8 Value 2,2,Value 2
Case 1167,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2,Value 8 Value 8 Value 2 Value 2,3,Value 2
Case 1167,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2,Value 8 Value 8 Value 2 Value 2 Value 2,4,Value 5
Case 1168,assign-seriousness,assign-seriousness,0,wait,Value 9,Value 9,0,Value 9
Case 1168,wait,assign-seriousness wait,1,take-in-charge-ticket,Value 9,Value 9 Value 9,1,Value 2
Case 1168,take-in-charge-ticket,assign-seriousness wait take-in-charge-ticket,2,resolve-ticket,Value 2,Value 9 Value 9 Value 2,2,Value 10
Case 1168,resolve-ticket,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,resolve-ticket,Value 10,Value 9 Value 9 Value 2 Value 10,3,Value 10
Case 1168,resolve-ticket,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket,4,closed,Value 10,Value 9 Value 9 Value 2 Value 10 Value 10,4,Value 5
Case 1169,assign-seriousness,assign-seriousness,0,resolve-ticket,Value 4,Value 4,0,Value 4
Case 1169,resolve-ticket,assign-seriousness resolve-ticket,1,closed,Value 4,Value 4 Value 4,1,Value 5
Case 1170,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 2
Case 1170,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 8 Value 2,1,Value 2
Case 1170,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 8 Value 2 Value 2,2,Value 5
Case 1171,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1171,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 1 Value 2,1,Value 2
Case 1171,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 1 Value 2 Value 2,2,Value 5
Case 1172,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1172,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 1 Value 2,1,Value 2
Case 1172,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2,Value 1 Value 2 Value 2,2,Value 2
Case 1172,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2,Value 1 Value 2 Value 2 Value 2,3,Value 5
Case 1173,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 2,Value 2,0,Value 2
Case 1173,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 2 Value 2,1,Value 2
Case 1173,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2,Value 2 Value 2 Value 2,2,Value 2
Case 1173,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,create-sw-anomaly,Value 2,Value 2 Value 2 Value 2 Value 2,3,Value 2
Case 1173,create-sw-anomaly,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly,4,resolve-ticket,Value 2,Value 2 Value 2 Value 2 Value 2 Value 2,4,Value 2
Case 1173,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket,5,take-in-charge-ticket,Value 2,Value 2 Value 2 Value 2 Value 2 Value 2 Value 2,5,Value 2
Case 1173,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket,6,resolve-ticket,Value 2,Value 2 Value 2 Value 2 Value 2 Value 2 Value 2 Value 2,6,Value 2
Case 1173,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket resolve-ticket,7,closed,Value 2,Value 2 Value 2 Value 2 Value 2 Value 2 Value 2 Value 2 Value 2,7,Value 5
Case 1174,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 8
Case 1174,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8,Value 8 Value 8,1,Value 10
Case 1174,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10,Value 8 Value 8 Value 10,2,Value 5
Case 1175,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 9
Case 1175,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9,Value 1 Value 9,1,Value 9
Case 1175,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket,Value 9,Value 1 Value 9 Value 9,2,Value 9
Case 1175,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket,Value 9,Value 1 Value 9 Value 9 Value 9,3,Value 9
Case 1175,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed,Value 9,Value 1 Value 9 Value 9 Value 9 Value 9,4,Value 5
Case 1176,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1176,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 1 Value 2,1,Value 2
Case 1176,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2,Value 1 Value 2 Value 2,2,Value 2
Case 1176,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2,Value 1 Value 2 Value 2 Value 2,3,Value 3
Case 1177,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 9
Case 1177,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9,Value 1 Value 9,1,Value 9
Case 1177,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9,Value 1 Value 9 Value 9,2,Value 5
Case 1178,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 13,Value 13,0,Value 13
Case 1178,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13,Value 13 Value 13,1,Value 13
Case 1178,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13,Value 13 Value 13 Value 13,2,Value 5
Case 1179,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 3
Case 1179,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 3,Value 1 Value 3,1,Value 4
Case 1179,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 4,Value 1 Value 3 Value 4,2,Value 4
Case 1179,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 4,Value 1 Value 3 Value 4 Value 4,3,Value 3
Case 1180,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 19,Value 19,0,Value 12
Case 1180,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 12,Value 19 Value 12,1,Value 12
Case 1180,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 12,Value 19 Value 12 Value 12,2,Value 12
Case 1180,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 12,Value 19 Value 12 Value 12 Value 12,3,Value 12
Case 1180,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 12,Value 19 Value 12 Value 12 Value 12 Value 12,4,Value 5
Case 1181,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 9,Value 9,0,Value 2
Case 1181,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 9 Value 2,1,Value 2
Case 1181,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 9 Value 2 Value 2,2,Value 5
Case 1182,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 8
Case 1182,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8,Value 8 Value 8,1,Value 2
Case 1182,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 8 Value 8 Value 2,2,Value 5
Case 1183,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 19,Value 19,0,Value 9
Case 1183,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 9,Value 19 Value 9,1,Value 9
Case 1183,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9,Value 19 Value 9 Value 9,2,Value 9
Case 1183,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9,Value 19 Value 9 Value 9 Value 9,3,Value 9
Case 1183,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9,Value 19 Value 9 Value 9 Value 9 Value 9,4,Value 5
Case 1184,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 2,Value 2,0,Value 2
Case 1184,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 2 Value 2,1,Value 2
Case 1184,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 2 Value 2 Value 2,2,Value 5
Case 1185,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 4,Value 4,0,Value 4
Case 1185,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4,Value 4 Value 4,1,Value 13
Case 1185,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13,Value 4 Value 4 Value 13,2,Value 5
Case 1186,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1186,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 1 Value 2,1,Value 2
Case 1186,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 1 Value 2 Value 2,2,Value 5
Case 1187,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 13
Case 1187,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13,Value 1 Value 13,1,Value 13
Case 1187,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13,Value 1 Value 13 Value 13,2,Value 5
Case 1188,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 1
Case 1188,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1,Value 1 Value 1,1,Value 1
Case 1188,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1,Value 1 Value 1 Value 1,2,Value 5
Case 1189,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 9,Value 9,0,Value 9
Case 1189,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 9,Value 9 Value 9,1,Value 9
Case 1189,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9,Value 9 Value 9 Value 9,2,Value 9
Case 1189,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9,Value 9 Value 9 Value 9 Value 9,3,Value 9
Case 1189,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9,Value 9 Value 9 Value 9 Value 9 Value 9,4,Value 5
Case 1190,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 1
Case 1190,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1,Value 1 Value 1,1,Value 1
Case 1190,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1,Value 1 Value 1 Value 1,2,Value 1
Case 1190,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1,Value 1 Value 1 Value 1 Value 1,3,Value 5
Case 1191,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 16,Value 16,0,Value 16
Case 1191,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 16,Value 16 Value 16,1,Value 16
Case 1191,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 16,Value 16 Value 16 Value 16,2,Value 12
Case 1191,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 12,Value 16 Value 16 Value 16 Value 12,3,Value 12
Case 1191,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 12,Value 16 Value 16 Value 16 Value 12 Value 12,4,Value 5
Case 1192,take-in-charge-ticket,take-in-charge-ticket,0,resolve-ticket,Value 4,Value 4,0,Value 2
Case 1192,resolve-ticket,take-in-charge-ticket resolve-ticket,1,closed,Value 2,Value 4 Value 2,1,Value 5
Case 1193,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 13,Value 13,0,Value 1
Case 1193,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1,Value 13 Value 1,1,Value 1
Case 1193,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1,Value 13 Value 1 Value 1,2,Value 3
Case 1194,assign-seriousness,assign-seriousness,0,assign-seriousness,Value 8,Value 8,0,Value 2
Case 1194,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2,Value 8 Value 2,1,Value 2
Case 1194,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2,Value 8 Value 2 Value 2,2,Value 2
Case 1194,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2,Value 8 Value 2 Value 2 Value 2,3,Value 5
Case 1195,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 1
Case 1195,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1,Value 1 Value 1,1,Value 1
Case 1195,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1,Value 1 Value 1 Value 1,2,Value 5
Case 1196,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 2,Value 2,0,Value 10
Case 1196,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10,Value 2 Value 10,1,Value 10
Case 1196,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10,Value 2 Value 10 Value 10,2,Value 5
Case 1197,assign-seriousness,assign-seriousness,0,assign-seriousness,Value 1,Value 1,0,Value 1
Case 1197,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 1,Value 1 Value 1,1,Value 4
Case 1197,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value 4,Value 1 Value 1 Value 4,2,Value 9
Case 1197,wait,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,resolve-ticket,Value 9,Value 1 Value 1 Value 4 Value 9,3,Value 9
Case 1197,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,4,closed,Value 9,Value 1 Value 1 Value 4 Value 9 Value 9,4,Value 5
Case 1198,assign-seriousness,assign-seriousness,0,resolve-ticket,Value 2,Value 2,0,Value 2
Case 1198,resolve-ticket,assign-seriousness resolve-ticket,1,resolve-ticket,Value 2,Value 2 Value 2,1,Value 2
Case 1198,resolve-ticket,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 2,Value 2 Value 2 Value 2,2,Value 5
Case 1199,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 13,Value 13,0,Value 9
Case 1199,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9,Value 13 Value 9,1,Value 9
Case 1199,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9,Value 13 Value 9 Value 9,2,Value 5
Case 1200,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 10
Case 1200,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10,Value 8 Value 10,1,Value 10
Case 1200,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10,Value 8 Value 10 Value 10,2,Value 5
Case 1201,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 4
Case 1201,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4,Value 1 Value 4,1,Value 4
Case 1201,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4,Value 1 Value 4 Value 4,2,Value 5
Case 1202,assign-seriousness,assign-seriousness,0,assign-seriousness,Value 19,Value 19,0,Value 2
Case 1202,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2,Value 19 Value 2,1,Value 16
Case 1202,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 16,Value 19 Value 2 Value 16,2,Value 16
Case 1202,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 16,Value 19 Value 2 Value 16 Value 16,3,Value 5
Case 1203,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 6,Value 6,0,Value 13
Case 1203,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13,Value 6 Value 13,1,Value 13
Case 1203,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13,Value 6 Value 13 Value 13,2,Value 5
Case 1204,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 9,Value 9,0,Value 9
Case 1204,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 9,Value 9 Value 9,1,Value 9
Case 1204,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9,Value 9 Value 9 Value 9,2,Value 9
Case 1204,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9,Value 9 Value 9 Value 9 Value 9,3,Value 9
Case 1204,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket,Value 9,Value 9 Value 9 Value 9 Value 9 Value 9,4,Value 9
Case 1204,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,resolve-ticket,Value 9,Value 9 Value 9 Value 9 Value 9 Value 9 Value 9,5,Value 9
Case 1204,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,closed,Value 9,Value 9 Value 9 Value 9 Value 9 Value 9 Value 9 Value 9,6,Value 5
Case 1205,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 13,Value 13,0,Value 13
Case 1205,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13,Value 13 Value 13,1,Value 13
Case 1205,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13,Value 13 Value 13 Value 13,2,Value 5
Case 1206,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 8,Value 8,0,Value 8
Case 1206,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8,Value 8 Value 8,1,Value 13
