case_id,prefix,k,next_act,Resource
Case 22,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 22,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 22,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 1
Case 23,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 23,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 23,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 24,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 24,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 24,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 25,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 25,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 25,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 26,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 26,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 26,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2
Case 26,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2
Case 26,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2
Case 27,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 27,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 27,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 28,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 28,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly,Value 9
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade,Value 9
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,require-upgrade,Value 9
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade require-upgrade,4,resolve-ticket,Value 1
Case 29,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 29,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 29,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 30,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 30,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 30,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 31,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 31,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly,Value 9
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade,Value 9
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,resolve-ticket,Value 9
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade resolve-ticket,4,closed,Value 9
Case 32,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 32,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 32,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 33,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 33,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 14
Case 33,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 14
Case 34,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 34,assign-seriousness take-in-charge-ticket,1,wait,Value 14
Case 34,assign-seriousness take-in-charge-ticket wait,2,wait,Value 14
Case 34,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket,Value 9
Case 34,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed,Value 9
Case 35,assign-seriousness,0,resolve-ticket,Value 1
Case 35,assign-seriousness resolve-ticket,1,closed,Value 1
Case 36,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 36,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 36,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 37,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 37,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 9
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,take-in-charge-ticket,Value 2
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket,4,wait,Value 2
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait,5,take-in-charge-ticket,Value 2
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,6,resolve-ticket,Value 2
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,7,closed,Value 2
Case 38,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 38,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 38,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 39,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 39,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 39,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 4
Case 39,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 4
Case 40,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 40,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 40,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 41,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 41,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 14
Case 41,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 14
Case 42,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 42,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 42,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 8
Case 43,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 43,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 43,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 44,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 44,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 44,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 45,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 45,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 45,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 46,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 46,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 2
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait,Value 12
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket,Value 12
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed,Value 12
Case 47,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 47,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 47,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 15
Case 48,insert-ticket,0,assign-seriousness,Value 12
Case 48,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value 2
Case 48,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 48,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 49,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 49,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 49,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 49,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 50,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 50,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 50,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 4
Case 50,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 4
Case 51,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 51,assign-seriousness take-in-charge-ticket,1,wait,Value 4
Case 51,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 10
Case 51,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 10
Case 52,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 52,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 52,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 53,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 53,assign-seriousness take-in-charge-ticket,1,wait,Value 14
Case 53,assign-seriousness take-in-charge-ticket wait,2,wait,Value 12
Case 53,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket,Value 12
Case 53,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket,Value 12
Case 53,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed,Value 2
Case 54,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 54,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 54,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 55,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 55,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 55,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 55,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 56,assign-seriousness,0,resolve-ticket,Value 2
Case 56,assign-seriousness resolve-ticket,1,closed,Value 2
Case 57,assign-seriousness,0,take-in-charge-ticket,Value 6
Case 57,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 57,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 58,assign-seriousness,0,create-sw-anomaly,Value 1
Case 58,assign-seriousness create-sw-anomaly,1,require-upgrade,Value 1
Case 58,assign-seriousness create-sw-anomaly require-upgrade,2,resolve-ticket,Value 2
Case 58,assign-seriousness create-sw-anomaly require-upgrade resolve-ticket,3,closed,Value 2
Case 59,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 59,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 59,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 59,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 60,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 60,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 60,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 13
Case 60,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2
Case 60,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2
Case 61,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 61,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 61,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 62,assign-seriousness,0,resolve-ticket,Value 4
Case 62,assign-seriousness resolve-ticket,1,closed,Value 4
Case 63,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 63,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 63,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 64,assign-seriousness,0,assign-seriousness,Value 13
Case 64,assign-seriousness assign-seriousness,1,wait,Value 13
Case 64,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket,Value 11
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,wait,Value 2
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait,4,take-in-charge-ticket,Value 2
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket,Value 11
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed,Value 11
Case 65,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 65,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 65,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 65,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 66,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 66,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 66,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 67,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 67,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 67,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 68,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 68,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 68,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 69,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 69,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 69,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 70,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 70,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 70,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 70,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 71,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 71,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 71,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 72,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 72,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 72,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 15
Case 73,assign-seriousness,0,resolve-ticket,Value 1
Case 73,assign-seriousness resolve-ticket,1,closed,Value 1
Case 74,resolve-ticket,0,closed,Value 13
Case 75,assign-seriousness,0,assign-seriousness,Value 2
Case 75,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 75,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 75,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 76,assign-seriousness,0,resolve-ticket,Value 1
Case 76,assign-seriousness resolve-ticket,1,closed,Value 1
Case 77,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 77,assign-seriousness take-in-charge-ticket,1,wait,Value 14
Case 77,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 14
Case 77,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 14
Case 78,assign-seriousness,0,take-in-charge-ticket,Value 6
Case 78,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 78,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 79,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 79,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 79,assign-seriousness take-in-charge-ticket wait,2,wait,Value 2
Case 79,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket,Value 2
Case 79,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed,Value 2
Case 80,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 80,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 80,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 81,assign-seriousness,0,take-in-charge-ticket,Value 16
Case 81,assign-seriousness take-in-charge-ticket,1,wait,Value 16
Case 81,assign-seriousness take-in-charge-ticket wait,2,wait,Value 16
Case 81,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket,Value 2
Case 81,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket,Value 11
Case 81,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed,Value 11
Case 82,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 82,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 82,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 82,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 83,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 83,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 83,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 83,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 1
Case 84,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 84,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 14
Case 84,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 14
Case 85,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 85,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 85,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 86,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 86,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 86,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 86,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 87,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 87,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 87,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,take-in-charge-ticket,Value 9
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket,4,wait,Value 9
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait,5,resolve-ticket,Value 9
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait resolve-ticket,6,closed,Value 9
Case 88,assign-seriousness,0,assign-seriousness,Value 14
Case 88,assign-seriousness assign-seriousness,1,wait,Value 7
Case 88,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket,Value 7
Case 88,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,resolve-ticket,Value 14
Case 88,assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket,4,closed,Value 14
Case 89,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 89,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 89,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 90,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 90,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 12
Case 90,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 12
Case 91,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 91,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 91,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 92,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 92,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 92,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 93,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 93,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 93,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 94,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 94,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 94,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 95,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 95,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 95,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 96,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 96,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 96,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 96,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 97,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 97,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 97,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 98,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 98,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 98,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 99,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 99,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 99,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 100,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 100,assign-seriousness take-in-charge-ticket,1,require-upgrade,Value 9
Case 100,assign-seriousness take-in-charge-ticket require-upgrade,2,resolve-ticket,Value 9
Case 100,assign-seriousness take-in-charge-ticket require-upgrade resolve-ticket,3,closed,Value 2
Case 101,insert-ticket,0,assign-seriousness,Value 15
Case 101,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value 15
Case 101,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 101,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 102,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 102,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 102,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 103,assign-seriousness,0,assign-seriousness,Value 2
