case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 3827,13,2 13 0 0 0 0 0,2,12,13
Case 3856,12,12 0 0 0 0 0 0,1,1,1
Case 3856,2,12 2 0 0 0 0 0,2,1,1
Case 3856,2,12 2 2 0 0 0 0,3,1,1
Case 3857,3,3 0 0 0 0 0 0,1,1,1
Case 3857,2,3 2 0 0 0 0 0,2,1,1
Case 3858,11,11 0 0 0 0 0 0,1,14,14
Case 3858,11,11 11 0 0 0 0 0,2,14,14
Case 3859,4,4 0 0 0 0 0 0,1,3,3
Case 3859,4,4 4 0 0 0 0 0,2,3,3
Case 386,6,6 0 0 0 0 0 0,1,5,5
Case 3855,6,6 0 0 0 0 0 0,1,8,8
Case 3826,15,15 0 0 0 0 0 0,1,1,12
Case 3826,2,15 2 0 0 0 0 0,2,1,12
Case 3826,2,15 2 2 0 0 0 0,3,13,12
Case 3792,2,2 0 0 0 0 0 0,1,1,7
Case 3792,2,2 2 0 0 0 0 0,2,6,7
Case 3793,4,4 0 0 0 0 0 0,1,2,2
Case 3793,9,4 9 0 0 0 0 0,2,2,2
Case 3795,2,2 0 0 0 0 0 0,1,1,1
Case 3795,2,2 2 0 0 0 0 0,2,1,1
Case 3795,2,2 2 2 0 0 0 0,3,1,1
Case 3797,3,3 0 0 0 0 0 0,1,6,7
Case 3799,3,3 0 0 0 0 0 0,1,7,6
Case 38,4,4 0 0 0 0 0 0,1,3,3
Case 38,4,4 4 0 0 0 0 0,2,3,3
Case 3800,3,3 0 0 0 0 0 0,1,1,1
Case 3800,2,3 2 0 0 0 0 0,2,1,1
Case 3800,2,3 2 2 0 0 0 0,3,1,1
Case 3801,3,3 0 0 0 0 0 0,1,6,7
Case 3801,3,3 3 0 0 0 0 0,2,6,7
Case 3802,7,7 0 0 0 0 0 0,1,6,7
Case 3791,3,3 0 0 0 0 0 0,1,7,6
Case 3781,3,3 0 0 0 0 0 0,1,9,9
Case 3782,3,3 0 0 0 0 0 0,1,10,10
Case 3783,3,3 0 0 0 0 0 0,1,3,3
Case 3783,4,3 4 0 0 0 0 0,2,3,3
Case 3786,3,3 0 0 0 0 0 0,1,6,7
Case 3787,17,17 0 0 0 0 0 0,1,15,15
Case 3788,12,12 0 0 0 0 0 0,1,1,11
Case 3788,2,12 2 0 0 0 0 0,2,1,11
Case 3788,2,12 2 2 0 0 0 0,3,11,11
Case 3789,3,3 0 0 0 0 0 0,1,12,13
Case 379,18,18 0 0 0 0 0 0,1,1,1
Case 379,2,18 2 0 0 0 0 0,2,1,1
Case 3790,7,7 0 0 0 0 0 0,1,7,6
Case 3803,3,3 0 0 0 0 0 0,1,1,1
Case 3803,2,3 2 0 0 0 0 0,2,1,1
Case 3804,3,3 0 0 0 0 0 0,1,2,2
Case 3804,9,3 9 0 0 0 0 0,2,2,2
Case 3804,9,3 9 9 0 0 0 0,3,2,2
Case 3804,9,3 9 9 9 0 0 0,4,2,2
Case 382,2,2 0 0 0 0 0 0,1,15,15
Case 3820,3,3 0 0 0 0 0 0,1,6,7
Case 3820,3,3 3 0 0 0 0 0,2,6,7
Case 3820,3,3 3 3 0 0 0 0,3,6,7
Case 3821,9,9 0 0 0 0 0 0,1,13,12
Case 3821,15,9 15 0 0 0 0 0,2,13,12
Case 3823,9,9 0 0 0 0 0 0,1,2,2
Case 3824,6,6 0 0 0 0 0 0,1,5,1
Case 3824,6,6 6 0 0 0 0 0,2,1,1
Case 3824,2,6 6 2 0 0 0 0,3,1,1
Case 3824,2,6 6 2 2 0 0 0,4,1,1
Case 3825,4,4 0 0 0 0 0 0,1,2,2
Case 3825,9,4 9 0 0 0 0 0,2,2,2
Case 3816,7,7 0 0 0 0 0 0,1,7,6
Case 3815,11,11 0 0 0 0 0 0,1,1,1
Case 3806,2,2 0 0 0 0 0 0,1,1,1
Case 3806,2,2 2 0 0 0 0 0,2,1,1
Case 3808,4,4 0 0 0 0 0 0,1,3,3
Case 3809,9,9 0 0 0 0 0 0,1,1,12
Case 3809,2,9 2 0 0 0 0 0,2,13,12
Case 3809,15,9 2 15 0 0 0 0,3,13,12
Case 381,3,3 0 0 0 0 0 0,1,6,7
Case 3810,6,6 0 0 0 0 0 0,1,7,5
Case 3810,7,6 7 0 0 0 0 0,2,5,5
Case 3811,4,4 0 0 0 0 0 0,1,3,3
Case 3813,9,9 0 0 0 0 0 0,1,13,12
Case 3813,15,9 15 0 0 0 0 0,2,13,12
Case 3813,15,9 15 15 0 0 0 0,3,13,12
Case 3813,15,9 15 15 15 0 0 0,4,13,12
Case 4045,12,12 0 0 0 0 0 0,1,1,1
Case 4046,3,3 0 0 0 0 0 0,1,6,7
Case 4046,3,3 3 0 0 0 0 0,2,6,7
Case 4275,2,2 0 0 0 0 0 0,1,1,1
Case 4276,3,3 0 0 0 0 0 0,1,6,7
Case 4276,3,3 3 0 0 0 0 0,2,6,7
Case 4277,8,8 0 0 0 0 0 0,1,10,10
Case 4277,8,8 8 0 0 0 0 0,2,10,10
Case 4278,3,3 0 0 0 0 0 0,1,6,7
Case 4279,9,9 0 0 0 0 0 0,1,2,2
Case 428,12,12 0 0 0 0 0 0,1,13,12
Case 428,15,12 15 0 0 0 0 0,2,13,12
Case 4280,6,6 0 0 0 0 0 0,1,5,16
Case 4280,6,6 6 0 0 0 0 0,2,16,16
Case 4280,16,6 6 16 0 0 0 0,3,16,16
Case 4280,16,6 6 16 16 0 0 0,4,16,16
Case 4281,2,2 0 0 0 0 0 0,1,1,1
Case 4282,4,4 0 0 0 0 0 0,1,13,12
Case 4282,15,4 15 0 0 0 0 0,2,13,12
Case 4283,7,7 0 0 0 0 0 0,1,10,10
Case 4283,8,7 8 0 0 0 0 0,2,10,10
Case 4273,2,2 0 0 0 0 0 0,1,1,1
Case 4273,2,2 2 0 0 0 0 0,2,1,1
Case 4264,2,2 0 0 0 0 0 0,1,4,4
Case 4264,5,2 5 0 0 0 0 0,2,4,4
Case 4265,2,2 0 0 0 0 0 0,1,1,1
Case 4266,4,4 0 0 0 0 0 0,1,3,2
Case 4266,4,4 4 0 0 0 0 0,2,2,2
Case 4268,3,3 0 0 0 0 0 0,1,6,7
Case 4269,3,3 0 0 0 0 0 0,1,10,10
Case 427,4,4 0 0 0 0 0 0,1,3,3
Case 427,4,4 4 0 0 0 0 0,2,3,3
Case 4270,7,7 0 0 0 0 0 0,1,7,6
Case 4271,2,2 0 0 0 0 0 0,1,1,1
Case 4271,2,2 2 0 0 0 0 0,2,1,1
Case 4272,4,4 0 0 0 0 0 0,1,10,4
Case 4272,8,4 8 0 0 0 0 0,2,4,4
Case 4285,16,16 0 0 0 0 0 0,1,16,1
Case 4285,16,16 16 0 0 0 0 0,2,1,1
Case 4285,2,16 16 2 0 0 0 0,3,1,1
Case 4296,2,2 0 0 0 0 0 0,1,1,1
Case 4296,2,2 2 0 0 0 0 0,2,1,1
Case 4297,3,3 0 0 0 0 0 0,1,3,3
Case 4297,4,3 4 0 0 0 0 0,2,3,3
Case 4298,3,3 0 0 0 0 0 0,1,6,7
Case 4299,3,3 0 0 0 0 0 0,1,6,7
Case 4299,3,3 3 0 0 0 0 0,2,6,7
Case 4299,3,3 3 3 0 0 0 0,3,6,7
Case 43,3,3 0 0 0 0 0 0,1,3,3
Case 43,4,3 4 0 0 0 0 0,2,3,3
Case 430,2,2 0 0 0 0 0 0,1,1,1
Case 430,2,2 2 0 0 0 0 0,2,1,1
Case 4300,9,9 0 0 0 0 0 0,1,2,2
Case 4301,3,3 0 0 0 0 0 0,1,13,12
Case 4302,6,6 0 0 0 0 0 0,1,5,5
Case 4302,6,6 6 0 0 0 0 0,2,5,5
Case 4295,9,9 0 0 0 0 0 0,1,5,5
Case 4294,3,3 0 0 0 0 0 0,1,6,8
Case 4294,3,3 3 0 0 0 0 0,2,1,8
Case 4294,2,3 3 2 0 0 0 0,3,8,8
Case 4286,3,3 0 0 0 0 0 0,1,6,7
Case 4286,3,3 3 0 0 0 0 0,2,6,7
Case 4288,2,2 0 0 0 0 0 0,1,4,4
Case 4288,5,2 5 0 0 0 0 0,2,4,4
Case 4289,7,7 0 0 0 0 0 0,1,7,6
Case 429,6,6 0 0 0 0 0 0,1,5,6
Case 429,6,6 6 0 0 0 0 0,2,7,6
Case 429,7,6 6 7 0 0 0 0,3,7,6
Case 4290,2,2 0 0 0 0 0 0,1,1,1
Case 4290,2,2 2 0 0 0 0 0,2,1,1
Case 4291,7,7 0 0 0 0 0 0,1,7,6
Case 4292,9,9 0 0 0 0 0 0,1,2,2
Case 4292,9,9 9 0 0 0 0 0,2,2,2
Case 4293,3,3 0 0 0 0 0 0,1,3,3
Case 4262,4,4 0 0 0 0 0 0,1,2,2
Case 4262,9,4 9 0 0 0 0 0,2,2,2
Case 4261,6,6 0 0 0 0 0 0,1,5,5
Case 423,8,8 0 0 0 0 0 0,1,1,10
Case 423,2,8 2 0 0 0 0 0,2,11,10
Case 423,12,8 2 12 0 0 0 0,3,10,10
Case 4230,3,3 0 0 0 0 0 0,1,1,1
Case 4230,2,3 2 0 0 0 0 0,2,1,1
Case 4231,7,7 0 0 0 0 0 0,1,2,2
Case 4232,3,3 0 0 0 0 0 0,1,1,1
Case 4233,3,3 0 0 0 0 0 0,1,10,10
Case 4235,3,3 0 0 0 0 0 0,1,6,7
Case 4236,6,6 0 0 0 0 0 0,1,8,8
Case 4236,10,6 10 0 0 0 0 0,2,8,8
Case 4237,9,9 0 0 0 0 0 0,1,16,16
Case 4237,16,9 16 0 0 0 0 0,2,16,16
Case 4238,4,4 0 0 0 0 0 0,1,3,3
Case 4238,4,4 4 0 0 0 0 0,2,3,3
Case 4239,3,3 0 0 0 0 0 0,1,6,7
Case 4239,3,3 3 0 0 0 0 0,2,6,7
Case 424,3,3 0 0 0 0 0 0,1,6,7
Case 4229,6,6 0 0 0 0 0 0,1,1,1
Case 4221,9,9 0 0 0 0 0 0,1,2,2
Case 4221,9,9 9 0 0 0 0 0,2,2,2
Case 4223,2,2 0 0 0 0 0 0,1,1,1
Case 4223,2,2 2 0 0 0 0 0,2,1,1
Case 4223,2,2 2 2 0 0 0 0,3,1,1
Case 4224,6,6 0 0 0 0 0 0,1,5,17
Case 4224,6,6 6 0 0 0 0 0,2,17,17
Case 4225,9,9 0 0 0 0 0 0,1,13,12
Case 4225,15,9 15 0 0 0 0 0,2,13,12
Case 4225,15,9 15 15 0 0 0 0,3,13,12
Case 4225,15,9 15 15 15 0 0 0,4,1,12
Case 4225,2,9 15 15 15 2 0 0,5,13,12
Case 4226,16,16 0 0 0 0 0 0,1,16,16
Case 4226,16,16 16 0 0 0 0 0,2,16,16
Case 4228,3,3 0 0 0 0 0 0,1,7,6
Case 4240,3,3 0 0 0 0 0 0,1,6,7
Case 4240,3,3 3 0 0 0 0 0,2,6,7
Case 4250,9,9 0 0 0 0 0 0,1,2,2
Case 4250,9,9 9 0 0 0 0 0,2,2,2
Case 4251,4,4 0 0 0 0 0 0,1,10,10
Case 4251,8,4 8 0 0 0 0 0,2,10,10
Case 4253,6,6 0 0 0 0 0 0,1,5,5
Case 4254,3,3 0 0 0 0 0 0,1,6,7
Case 4255,4,4 0 0 0 0 0 0,1,1,1
Case 4256,6,6 0 0 0 0 0 0,1,5,2
Case 4256,6,6 6 0 0 0 0 0,2,2,2
Case 4258,18,18 0 0 0 0 0 0,1,10,4
Case 4258,8,18 8 0 0 0 0 0,2,4,4
Case 426,6,6 0 0 0 0 0 0,1,5,2
Case 426,6,6 6 0 0 0 0 0,2,2,2
Case 4260,9,9 0 0 0 0 0 0,1,10,10
Case 425,2,2 0 0 0 0 0 0,1,1,6
Case 425,2,2 2 0 0 0 0 0,2,7,6
Case 4242,3,3 0 0 0 0 0 0,1,6,7
Case 4243,19,19 0 0 0 0 0 0,1,4,4
Case 4243,5,19 5 0 0 0 0 0,2,4,4
Case 4243,5,19 5 5 0 0 0 0,3,4,4
Case 4244,7,7 0 0 0 0 0 0,1,7,6
Case 4244,7,7 7 0 0 0 0 0,2,7,6
Case 4244,7,7 7 7 0 0 0 0,3,7,6
Case 4245,2,2 0 0 0 0 0 0,1,1,1
Case 4245,2,2 2 0 0 0 0 0,2,1,1
Case 4246,6,6 0 0 0 0 0 0,1,5,5
Case 4246,6,6 6 0 0 0 0 0,2,5,5
Case 4247,2,2 0 0 0 0 0 0,1,1,1
Case 4248,3,3 0 0 0 0 0 0,1,6,7
Case 4249,3,3 0 0 0 0 0 0,1,7,6
Case 4303,11,11 0 0 0 0 0 0,1,14,14
Case 4303,11,11 11 0 0 0 0 0,2,14,14
Case 4303,11,11 11 11 0 0 0 0,3,14,14
Case 436,4,4 0 0 0 0 0 0,1,3,3
Case 436,4,4 4 0 0 0 0 0,2,3,3
Case 436,4,4 4 4 0 0 0 0,3,3,3
Case 4360,6,6 0 0 0 0 0 0,1,5,5
Case 4360,6,6 6 0 0 0 0 0,2,5,5
Case 4363,6,6 0 0 0 0 0 0,1,5,6
Case 4363,6,6 6 0 0 0 0 0,2,7,6
Case 4364,4,4 0 0 0 0 0 0,1,10,12
Case 4364,8,4 8 0 0 0 0 0,2,13,12
Case 4366,2,2 0 0 0 0 0 0,1,12,13
Case 4366,13,2 13 0 0 0 0 0,2,12,13
Case 4367,3,3 0 0 0 0 0 0,1,2,2
Case 4359,20,20 0 0 0 0 0 0,1,6,7
Case 4357,3,3 0 0 0 0 0 0,1,6,7
Case 4357,3,3 3 0 0 0 0 0,2,6,7
Case 4349,6,6 0 0 0 0 0 0,1,5,5
Case 4349,6,6 6 0 0 0 0 0,2,5,5
Case 4350,6,6 0 0 0 0 0 0,1,5,5
Case 4351,11,11 0 0 0 0 0 0,1,6,7
Case 4351,3,11 3 0 0 0 0 0,2,6,7
Case 4352,2,2 0 0 0 0 0 0,1,1,1
Case 4353,3,3 0 0 0 0 0 0,1,6,7
Case 4353,3,3 3 0 0 0 0 0,2,6,7
Case 4354,3,3 0 0 0 0 0 0,1,1,1
Case 4355,4,4 0 0 0 0 0 0,1,3,3
Case 4355,4,4 4 0 0 0 0 0,2,3,3
Case 4356,8,8 0 0 0 0 0 0,1,1,1
Case 4356,2,8 2 0 0 0 0 0,2,1,1
Case 4381,7,7 0 0 0 0 0 0,1,7,5
Case 4381,7,7 7 0 0 0 0 0,2,11,5
Case 4381,12,7 7 12 0 0 0 0,3,11,5
Case 4381,12,7 7 12 12 0 0 0,4,11,5
Case 4381,12,7 7 12 12 12 0 0,5,5,5
Case 4381,6,7 7 12 12 12 6 0,6,5,5
Case 4382,6,6 0 0 0 0 0 0,1,5,5
Case 4384,9,9 0 0 0 0 0 0,1,13,12
Case 4384,15,9 15 0 0 0 0 0,2,13,12
Case 4384,15,9 15 15 0 0 0 0,3,13,12
Case 4384,15,9 15 15 15 0 0 0,4,13,12
Case 4385,2,2 0 0 0 0 0 0,1,1,1
Case 4386,3,3 0 0 0 0 0 0,1,6,7
Case 4386,3,3 3 0 0 0 0 0,2,6,7
Case 4386,3,3 3 3 0 0 0 0,3,6,7
Case 4387,2,2 0 0 0 0 0 0,1,1,1
Case 4387,2,2 2 0 0 0 0 0,2,1,1
Case 4387,2,2 2 2 0 0 0 0,3,1,1
Case 4387,2,2 2 2 2 0 0 0,4,1,1
Case 4388,3,3 0 0 0 0 0 0,1,6,7
Case 4371,4,4 0 0 0 0 0 0,1,3,3
Case 4371,4,4 4 0 0 0 0 0,2,3,3
Case 4372,3,3 0 0 0 0 0 0,1,6,7
Case 4373,3,3 0 0 0 0 0 0,1,6,7
Case 4374,2,2 0 0 0 0 0 0,1,1,1
Case 4374,2,2 2 0 0 0 0 0,2,1,1
Case 4346,13,13 0 0 0 0 0 0,1,12,5
Case 4346,13,13 13 0 0 0 0 0,2,5,5
Case 4377,3,3 0 0 0 0 0 0,1,6,7
Case 4377,3,3 3 0 0 0 0 0,2,6,7
Case 4378,2,2 0 0 0 0 0 0,1,1,1
Case 4378,2,2 2 0 0 0 0 0,2,1,1
Case 4378,2,2 2 2 0 0 0 0,3,1,1
Case 4378,2,2 2 2 2 0 0 0,4,1,1
Case 4378,2,2 2 2 2 2 0 0,5,1,1
Case 4379,3,3 0 0 0 0 0 0,1,8,8
Case 4380,7,7 0 0 0 0 0 0,1,7,6
Case 4376,2,2 0 0 0 0 0 0,1,1,1
Case 4220,7,7 0 0 0 0 0 0,1,7,6
Case 4220,7,7 7 0 0 0 0 0,2,7,6
Case 4345,2,2 0 0 0 0 0 0,1,16,1
Case 4345,16,2 16 0 0 0 0 0,2,1,1
Case 4313,7,7 0 0 0 0 0 0,1,7,6
Case 4313,7,7 7 0 0 0 0 0,2,7,6
Case 4316,2,2 0 0 0 0 0 0,1,1,1
Case 4316,2,2 2 0 0 0 0 0,2,1,1
Case 4317,3,3 0 0 0 0 0 0,1,6,7
Case 4317,3,3 3 0 0 0 0 0,2,6,7
Case 4318,6,6 0 0 0 0 0 0,1,5,1
Case 4318,6,6 6 0 0 0 0 0,2,1,1
Case 4319,3,3 0 0 0 0 0 0,1,13,12
Case 4319,15,3 15 0 0 0 0 0,2,13,12
Case 432,3,3 0 0 0 0 0 0,1,2,2
Case 4321,9,9 0 0 0 0 0 0,1,2,2
Case 4321,9,9 9 0 0 0 0 0,2,2,2
Case 4312,2,2 0 0 0 0 0 0,1,1,1
Case 4312,2,2 2 0 0 0 0 0,2,1,1
Case 4311,2,2 0 0 0 0 0 0,1,1,1
Case 4311,2,2 2 0 0 0 0 0,2,1,1
Case 4304,3,3 0 0 0 0 0 0,1,2,9
Case 4304,9,3 9 0 0 0 0 0,2,9,9
Case 4305,7,7 0 0 0 0 0 0,1,2,2
Case 4305,9,7 9 0 0 0 0 0,2,2,2
Case 4306,8,8 0 0 0 0 0 0,1,10,10
Case 4306,8,8 8 0 0 0 0 0,2,10,10
Case 4307,2,2 0 0 0 0 0 0,1,1,1
Case 4308,2,2 0 0 0 0 0 0,1,1,1
Case 4308,2,2 2 0 0 0 0 0,2,1,1
Case 431,2,2 0 0 0 0 0 0,1,1,1
Case 431,2,2 2 0 0 0 0 0,2,1,1
Case 4310,2,2 0 0 0 0 0 0,1,1,1
Case 4310,2,2 2 0 0 0 0 0,2,1,1
Case 4322,2,2 0 0 0 0 0 0,1,2,2
Case 4322,9,2 9 0 0 0 0 0,2,2,2
Case 4322,9,2 9 9 0 0 0 0,3,2,2
Case 4337,11,11 0 0 0 0 0 0,1,1,1
Case 4337,2,11 2 0 0 0 0 0,2,1,1
Case 434,4,4 0 0 0 0 0 0,1,3,3
Case 4340,3,3 0 0 0 0 0 0,1,6,7
Case 4340,3,3 3 0 0 0 0 0,2,6,7
Case 4343,9,9 0 0 0 0 0 0,1,2,1
Case 4343,9,9 9 0 0 0 0 0,2,1,1
Case 4344,3,3 0 0 0 0 0 0,1,6,7
Case 4344,3,3 3 0 0 0 0 0,2,6,7
Case 4335,3,3 0 0 0 0 0 0,1,6,7
Case 4335,3,3 3 0 0 0 0 0,2,6,7
Case 4334,8,8 0 0 0 0 0 0,1,6,7
Case 4327,2,2 0 0 0 0 0 0,1,1,1
Case 4327,2,2 2 0 0 0 0 0,2,1,1
Case 4329,5,5 0 0 0 0 0 0,1,4,4
Case 433,2,2 0 0 0 0 0 0,1,14,14
Case 4330,7,7 0 0 0 0 0 0,1,13,1
Case 4330,15,7 15 0 0 0 0 0,2,1,1
Case 4331,9,9 0 0 0 0 0 0,1,2,2
Case 4331,9,9 9 0 0 0 0 0,2,2,2
Case 4333,6,6 0 0 0 0 0 0,1,5,5
Case 4333,6,6 6 0 0 0 0 0,2,5,5
Case 41,11,11 0 0 0 0 0 0,1,14,14
Case 41,11,11 11 0 0 0 0 0,2,14,14
Case 4101,8,8 0 0 0 0 0 0,1,10,10
Case 4101,8,8 8 0 0 0 0 0,2,10,10
Case 4101,8,8 8 8 0 0 0 0,3,10,10
Case 4101,8,8 8 8 8 0 0 0,4,10,10
Case 4102,3,3 0 0 0 0 0 0,1,6,7
Case 4103,9,9 0 0 0 0 0 0,1,2,2
Case 4104,3,3 0 0 0 0 0 0,1,1,1
Case 4106,7,7 0 0 0 0 0 0,1,7,6
Case 4106,7,7 7 0 0 0 0 0,2,7,6
Case 4108,2,2 0 0 0 0 0 0,1,1,1
Case 4108,2,2 2 0 0 0 0 0,2,1,1
Case 4109,6,6 0 0 0 0 0 0,1,5,16
Case 4109,6,6 6 0 0 0 0 0,2,16,16
Case 4097,4,4 0 0 0 0 0 0,1,3,3
Case 409,7,7 0 0 0 0 0 0,1,4,4
Case 409,5,7 5 0 0 0 0 0,2,4,4
Case 4090,4,4 0 0 0 0 0 0,1,3,3
Case 4091,9,9 0 0 0 0 0 0,1,2,2
Case 4091,9,9 9 0 0 0 0 0,2,2,2
Case 4092,16,16 0 0 0 0 0 0,1,1,1
Case 4092,2,16 2 0 0 0 0 0,2,1,1
