case_id,prefix,k,time_passed,recent_time,latest_time,next_time
Case 1175,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,4,0,0,41
Case 1175,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,45,41,41,1
Case 1176,assign-seriousness,0,0,0,0,5
Case 1176,assign-seriousness take-in-charge-ticket,1,5,0,5,12
Case 1176,assign-seriousness take-in-charge-ticket wait,2,17,18,12,25
Case 1176,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,42,38,25,15
Case 1176,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,57,40,15,1
Case 1177,assign-seriousness,0,0,0,0,0
Case 1177,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1177,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,29
Case 1177,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,30,29,1
Case 1178,assign-seriousness,0,0,0,0,0
Case 1178,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1178,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,33
Case 1178,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,33,33,33,1
Case 1179,assign-seriousness,0,0,0,0,0
Case 1179,assign-seriousness take-in-charge-ticket,1,0,0,0,5
Case 1179,assign-seriousness take-in-charge-ticket wait,2,5,5,5,24
Case 1179,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,29,30,24,15
Case 1179,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,44,39,15,1
Case 1180,assign-seriousness,0,0,0,0,38
Case 1180,assign-seriousness take-in-charge-ticket,1,38,0,38,0
Case 1180,assign-seriousness take-in-charge-ticket wait,2,38,38,0,1
Case 1180,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,39,1,1,0
Case 1180,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,39,1,0,15
Case 1180,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,54,15,15,1
Case 1181,assign-seriousness,0,0,0,0,0
Case 1181,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1181,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,36
Case 1181,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,36,37,36,1
Case 1182,assign-seriousness,0,0,0,0,0
Case 1182,assign-seriousness take-in-charge-ticket,1,0,0,0,13
Case 1182,assign-seriousness take-in-charge-ticket resolve-ticket,2,13,13,13,19
Case 1182,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,32,19,1
Case 1183,assign-seriousness,0,0,0,0,0
Case 1183,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1183,assign-seriousness take-in-charge-ticket wait,2,0,0,0,0
Case 1183,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,0,0,0,0
Case 1183,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,0,0,0,43
Case 1183,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,43,43,43,1
Case 1184,assign-seriousness,0,0,0,0,6
Case 1184,assign-seriousness take-in-charge-ticket,1,6,0,6,0
Case 1184,assign-seriousness take-in-charge-ticket resolve-ticket,2,6,6,0,27
Case 1184,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,33,27,27,1
Case 1185,assign-seriousness,0,0,0,0,0
Case 1185,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1185,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,35
Case 1185,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,35,35,35,1
Case 1186,assign-seriousness,0,0,0,0,15
Case 1186,assign-seriousness take-in-charge-ticket,1,15,0,15,0
Case 1186,assign-seriousness take-in-charge-ticket resolve-ticket,2,15,15,0,15
Case 1186,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,15,15,1
Case 1187,assign-seriousness,0,0,0,0,0
Case 1187,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1187,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,45
Case 1187,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,45,1
Case 1188,assign-seriousness,0,0,0,0,6
Case 1188,assign-seriousness take-in-charge-ticket,1,6,0,6,0
Case 1188,assign-seriousness take-in-charge-ticket resolve-ticket,2,6,6,0,30
Case 1188,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,36,30,30,1
Case 1189,assign-seriousness,0,0,0,0,0
Case 1189,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1189,assign-seriousness take-in-charge-ticket wait,2,0,0,0,40
Case 1189,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,40,40,40,0
Case 1189,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,40,40,0,15
Case 1189,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,55,15,15,1
Case 1190,assign-seriousness,0,0,0,0,0
Case 1190,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1190,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,0
Case 1190,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,0,0,0,45
Case 1190,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket closed,4,45,45,45,1
Case 1191,assign-seriousness,0,0,0,0,0
Case 1191,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1191,assign-seriousness take-in-charge-ticket wait,2,0,0,0,17
Case 1191,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,17,17,17,0
Case 1191,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,17,17,0,29
Case 1191,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,46,30,29,1
Case 1192,take-in-charge-ticket,0,0,0,0,1
Case 1192,take-in-charge-ticket resolve-ticket,1,1,0,1,42
Case 1192,take-in-charge-ticket resolve-ticket closed,2,43,44,42,1
Case 1193,assign-seriousness,0,0,0,0,24
Case 1193,assign-seriousness take-in-charge-ticket,1,24,0,24,2
Case 1193,assign-seriousness take-in-charge-ticket resolve-ticket,2,26,26,2,15
Case 1193,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,41,17,15,1
Case 1194,assign-seriousness,0,0,0,0,1
Case 1194,assign-seriousness assign-seriousness,1,1,0,1,0
Case 1194,assign-seriousness assign-seriousness take-in-charge-ticket,2,1,1,0,0
Case 1194,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,1,0,0,56
Case 1194,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,57,57,56,1
Case 1195,assign-seriousness,0,0,0,0,6
Case 1195,assign-seriousness take-in-charge-ticket,1,6,0,6,6
Case 1195,assign-seriousness take-in-charge-ticket resolve-ticket,2,12,13,6,30
Case 1195,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,42,36,30,1
Case 1196,assign-seriousness,0,0,0,0,13
Case 1196,assign-seriousness take-in-charge-ticket,1,13,0,13,0
Case 1196,assign-seriousness take-in-charge-ticket resolve-ticket,2,13,13,0,32
Case 1196,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,32,32,1
Case 1197,assign-seriousness,0,0,0,0,0
Case 1197,assign-seriousness assign-seriousness,1,0,0,0,1
Case 1197,assign-seriousness assign-seriousness take-in-charge-ticket,2,1,1,1,0
Case 1197,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,1,1,0,1
Case 1197,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,4,2,1,1,44
Case 1197,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket closed,5,46,46,44,1
Case 1198,assign-seriousness,0,0,0,0,0
Case 1198,assign-seriousness resolve-ticket,1,0,0,0,0
Case 1198,assign-seriousness resolve-ticket resolve-ticket,2,0,0,0,51
Case 1198,assign-seriousness resolve-ticket resolve-ticket closed,3,51,51,51,1
Case 1199,assign-seriousness,0,0,0,0,0
Case 1199,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1199,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,30
Case 1199,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,30,30,1
Case 1200,assign-seriousness,0,0,0,0,0
Case 1200,assign-seriousness take-in-charge-ticket,1,0,0,0,4
Case 1200,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,5,4,25
Case 1200,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,29,30,25,1
Case 1201,assign-seriousness,0,0,0,0,0
Case 1201,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1201,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,52
Case 1201,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,52,52,52,1
Case 1202,assign-seriousness,0,0,0,0,2
Case 1202,assign-seriousness assign-seriousness,1,2,0,2,0
Case 1202,assign-seriousness assign-seriousness take-in-charge-ticket,2,2,2,0,0
Case 1202,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,2,0,0,56
Case 1202,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,58,56,56,1
Case 1203,assign-seriousness,0,0,0,0,24
Case 1203,assign-seriousness take-in-charge-ticket,1,24,0,24,0
Case 1203,assign-seriousness take-in-charge-ticket resolve-ticket,2,24,24,0,15
Case 1203,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,39,15,15,1
Case 1204,assign-seriousness,0,0,0,0,29
Case 1204,assign-seriousness take-in-charge-ticket,1,29,0,29,0
Case 1204,assign-seriousness take-in-charge-ticket wait,2,29,29,0,0
Case 1204,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,29,0,0,0
Case 1204,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,29,0,0,5
Case 1204,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,34,5,5,1
Case 1204,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,35,6,1,15
Case 1204,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,7,50,16,15,1
Case 1205,assign-seriousness,0,0,0,0,0
Case 1205,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1205,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,33
Case 1205,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,33,33,33,1
Case 1206,assign-seriousness,0,0,0,0,0
Case 1206,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1206,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,31
Case 1206,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,32,31,1
Case 1207,assign-seriousness,0,0,0,0,13
Case 1207,assign-seriousness take-in-charge-ticket,1,13,0,13,0
Case 1207,assign-seriousness take-in-charge-ticket wait,2,13,13,0,5
Case 1207,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,18,5,5,15
Case 1207,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,33,20,15,1
Case 1208,assign-seriousness,0,0,0,0,0
Case 1208,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1208,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,55
Case 1208,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,55,55,55,1
Case 1209,assign-seriousness,0,0,0,0,0
Case 1209,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1209,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,52
Case 1209,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,52,52,52,1
Case 1210,assign-seriousness,0,0,0,0,0
Case 1210,assign-seriousness wait,1,0,0,0,25
Case 1210,assign-seriousness wait resolve-ticket,2,25,25,25,15
Case 1210,assign-seriousness wait resolve-ticket closed,3,40,40,15,1
Case 1211,assign-seriousness,0,0,0,0,11
Case 1211,assign-seriousness assign-seriousness,1,11,0,11,0
Case 1211,assign-seriousness assign-seriousness take-in-charge-ticket,2,11,11,0,0
Case 1211,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,11,0,0,20
Case 1211,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,31,20,20,1
Case 1212,assign-seriousness,0,0,0,0,0
Case 1212,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1212,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,32
Case 1212,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,33,32,1
Case 1213,assign-seriousness,0,0,0,0,15
Case 1213,assign-seriousness take-in-charge-ticket,1,15,0,15,1
Case 1213,assign-seriousness take-in-charge-ticket resolve-ticket,2,16,16,1,30
Case 1213,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,46,31,30,1
Case 1214,assign-seriousness,0,0,0,0,0
Case 1214,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1214,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,0,0,0,0
Case 1214,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,0,0,0,32
Case 1214,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,4,32,32,32,1
Case 1215,assign-seriousness,0,0,0,0,0
Case 1215,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1215,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,29
Case 1215,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,30,29,1
Case 1216,assign-seriousness,0,0,0,0,2
Case 1216,assign-seriousness take-in-charge-ticket,1,2,0,2,3
Case 1216,assign-seriousness take-in-charge-ticket resolve-ticket,2,5,6,3,26
Case 1216,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,31,30,26,1
Case 1217,assign-seriousness,0,0,0,0,0
Case 1217,assign-seriousness take-in-charge-ticket,1,0,0,0,18
Case 1217,assign-seriousness take-in-charge-ticket resolve-ticket,2,18,18,18,15
Case 1217,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,33,33,15,1
Case 1218,assign-seriousness,0,0,0,0,27
Case 1218,assign-seriousness take-in-charge-ticket,1,27,0,27,0
Case 1218,assign-seriousness take-in-charge-ticket wait,2,27,27,0,2
Case 1218,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,29,2,2,0
Case 1218,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,29,2,0,15
Case 1218,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,44,15,15,1
Case 1219,assign-seriousness,0,0,0,0,0
Case 1219,assign-seriousness take-in-charge-ticket,1,0,0,0,7
Case 1219,assign-seriousness take-in-charge-ticket resolve-ticket,2,7,7,7,38
Case 1219,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,38,1
Case 1220,assign-seriousness,0,0,0,0,0
Case 1220,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1220,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,48
Case 1220,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,48,48,48,1
Case 1221,assign-seriousness,0,0,0,0,17
Case 1221,assign-seriousness take-in-charge-ticket,1,17,0,17,0
Case 1221,assign-seriousness take-in-charge-ticket wait,2,17,17,0,8
Case 1221,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,25,9,8,15
Case 1221,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,40,23,15,1
Case 1222,assign-seriousness,0,0,0,0,3
Case 1222,assign-seriousness take-in-charge-ticket,1,3,0,3,5
Case 1222,assign-seriousness take-in-charge-ticket resolve-ticket,2,8,8,5,30
Case 1222,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,38,35,30,1
Case 1223,assign-seriousness,0,0,0,0,0
Case 1223,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1223,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,0
Case 1223,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,0,1,0,11
Case 1223,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,11,12,11,30
Case 1223,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,41,42,30,1
Case 1224,assign-seriousness,0,0,0,0,0
Case 1224,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1224,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,1,0,42
Case 1224,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,42,43,42,1
Case 1225,assign-seriousness,0,0,0,0,7
Case 1225,assign-seriousness resolve-ticket,1,7,0,7,51
Case 1225,assign-seriousness resolve-ticket closed,2,58,59,51,1
Case 1226,assign-seriousness,0,0,0,0,0
Case 1226,assign-seriousness resolve-ticket,1,0,0,0,0
Case 1226,assign-seriousness resolve-ticket resolve-ticket,2,0,0,0,32
Case 1226,assign-seriousness resolve-ticket resolve-ticket closed,3,32,32,32,1
Case 1227,assign-seriousness,0,0,0,0,1
Case 1227,assign-seriousness take-in-charge-ticket,1,1,0,1,12
Case 1227,assign-seriousness take-in-charge-ticket wait,2,13,13,12,0
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,12,0,0
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,13,0,0,27
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket,5,40,27,27,0
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,40,27,0,17
Case 1227,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,7,57,17,17,1
Case 1228,assign-seriousness,0,0,0,0,0
Case 1228,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1228,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,58
Case 1228,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,58,1
Case 1229,assign-seriousness,0,0,0,0,0
Case 1229,assign-seriousness take-in-charge-ticket,1,0,0,0,6
Case 1229,assign-seriousness take-in-charge-ticket resolve-ticket,2,6,6,6,30
Case 1229,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,36,37,30,1
Case 1230,assign-seriousness,0,0,0,0,0
Case 1230,assign-seriousness take-in-charge-ticket,1,0,0,0,43
Case 1230,assign-seriousness take-in-charge-ticket resolve-ticket,2,43,43,43,15
Case 1230,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,15,1
Case 1231,assign-seriousness,0,0,0,0,0
