case_id,prefix,k,next_act
Case 26,assign-seriousness,0,take-in-charge-ticket
Case 26,assign-seriousness take-in-charge-ticket,1,wait
Case 26,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 26,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 26,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 27,assign-seriousness,0,take-in-charge-ticket
Case 27,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 27,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 28,assign-seriousness,0,take-in-charge-ticket
Case 28,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,require-upgrade
Case 28,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade require-upgrade,4,resolve-ticket
Case 29,assign-seriousness,0,take-in-charge-ticket
Case 29,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 29,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 30,assign-seriousness,0,take-in-charge-ticket
Case 30,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 30,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 31,assign-seriousness,0,take-in-charge-ticket
Case 31,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,require-upgrade
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade,3,resolve-ticket
Case 31,assign-seriousness take-in-charge-ticket create-sw-anomaly require-upgrade resolve-ticket,4,closed
Case 32,assign-seriousness,0,take-in-charge-ticket
Case 32,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 32,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 33,assign-seriousness,0,take-in-charge-ticket
Case 33,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 33,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 34,assign-seriousness,0,take-in-charge-ticket
Case 34,assign-seriousness take-in-charge-ticket,1,wait
Case 34,assign-seriousness take-in-charge-ticket wait,2,wait
Case 34,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 34,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 35,assign-seriousness,0,resolve-ticket
Case 35,assign-seriousness resolve-ticket,1,closed
Case 36,assign-seriousness,0,take-in-charge-ticket
Case 36,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 36,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 37,assign-seriousness,0,take-in-charge-ticket
Case 37,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,take-in-charge-ticket
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket,4,wait
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait,5,take-in-charge-ticket
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,6,resolve-ticket
Case 37,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,7,closed
Case 38,assign-seriousness,0,take-in-charge-ticket
Case 38,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 38,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 39,assign-seriousness,0,take-in-charge-ticket
Case 39,assign-seriousness take-in-charge-ticket,1,wait
Case 39,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 39,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 40,assign-seriousness,0,take-in-charge-ticket
Case 40,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 40,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 41,assign-seriousness,0,take-in-charge-ticket
Case 41,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 41,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 42,assign-seriousness,0,take-in-charge-ticket
Case 42,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 42,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 43,assign-seriousness,0,take-in-charge-ticket
Case 43,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 43,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 44,assign-seriousness,0,take-in-charge-ticket
Case 44,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 44,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 45,assign-seriousness,0,take-in-charge-ticket
Case 45,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 45,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 46,assign-seriousness,0,take-in-charge-ticket
Case 46,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket
Case 46,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed
Case 47,assign-seriousness,0,take-in-charge-ticket
Case 47,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 47,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 48,insert-ticket,0,assign-seriousness
Case 48,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 48,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 48,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 49,assign-seriousness,0,take-in-charge-ticket
Case 49,assign-seriousness take-in-charge-ticket,1,wait
Case 49,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 49,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 50,assign-seriousness,0,take-in-charge-ticket
Case 50,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 50,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 50,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 51,assign-seriousness,0,take-in-charge-ticket
Case 51,assign-seriousness take-in-charge-ticket,1,wait
Case 51,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 51,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 52,assign-seriousness,0,take-in-charge-ticket
Case 52,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 52,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 53,assign-seriousness,0,take-in-charge-ticket
Case 53,assign-seriousness take-in-charge-ticket,1,wait
Case 53,assign-seriousness take-in-charge-ticket wait,2,wait
Case 53,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 53,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 53,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 54,assign-seriousness,0,take-in-charge-ticket
Case 54,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 54,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 55,assign-seriousness,0,take-in-charge-ticket
Case 55,assign-seriousness take-in-charge-ticket,1,wait
Case 55,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 55,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 56,assign-seriousness,0,resolve-ticket
Case 56,assign-seriousness resolve-ticket,1,closed
Case 57,assign-seriousness,0,take-in-charge-ticket
Case 57,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 57,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 58,assign-seriousness,0,create-sw-anomaly
Case 58,assign-seriousness create-sw-anomaly,1,require-upgrade
Case 58,assign-seriousness create-sw-anomaly require-upgrade,2,resolve-ticket
Case 58,assign-seriousness create-sw-anomaly require-upgrade resolve-ticket,3,closed
Case 59,assign-seriousness,0,take-in-charge-ticket
Case 59,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 59,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 59,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 60,assign-seriousness,0,take-in-charge-ticket
Case 60,assign-seriousness take-in-charge-ticket,1,wait
Case 60,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 60,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 60,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 61,assign-seriousness,0,take-in-charge-ticket
Case 61,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 61,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 62,assign-seriousness,0,resolve-ticket
Case 62,assign-seriousness resolve-ticket,1,closed
Case 63,assign-seriousness,0,take-in-charge-ticket
Case 63,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 63,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 64,assign-seriousness,0,assign-seriousness
Case 64,assign-seriousness assign-seriousness,1,wait
Case 64,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,wait
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait,4,take-in-charge-ticket
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 64,assign-seriousness assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 65,assign-seriousness,0,take-in-charge-ticket
Case 65,assign-seriousness take-in-charge-ticket,1,wait
Case 65,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 65,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 66,assign-seriousness,0,take-in-charge-ticket
Case 66,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 66,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 67,assign-seriousness,0,take-in-charge-ticket
Case 67,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 67,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 68,assign-seriousness,0,take-in-charge-ticket
Case 68,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 68,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 69,assign-seriousness,0,take-in-charge-ticket
Case 69,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 69,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 70,assign-seriousness,0,take-in-charge-ticket
Case 70,assign-seriousness take-in-charge-ticket,1,wait
Case 70,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 70,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 71,assign-seriousness,0,take-in-charge-ticket
Case 71,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 71,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 72,assign-seriousness,0,take-in-charge-ticket
Case 72,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 72,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 73,assign-seriousness,0,resolve-ticket
Case 73,assign-seriousness resolve-ticket,1,closed
Case 74,resolve-ticket,0,closed
Case 75,assign-seriousness,0,assign-seriousness
Case 75,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 75,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 75,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 76,assign-seriousness,0,resolve-ticket
Case 76,assign-seriousness resolve-ticket,1,closed
Case 77,assign-seriousness,0,take-in-charge-ticket
Case 77,assign-seriousness take-in-charge-ticket,1,wait
Case 77,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 77,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 78,assign-seriousness,0,take-in-charge-ticket
Case 78,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 78,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 79,assign-seriousness,0,take-in-charge-ticket
Case 79,assign-seriousness take-in-charge-ticket,1,wait
Case 79,assign-seriousness take-in-charge-ticket wait,2,wait
Case 79,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 79,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 80,assign-seriousness,0,take-in-charge-ticket
Case 80,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 80,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 81,assign-seriousness,0,take-in-charge-ticket
Case 81,assign-seriousness take-in-charge-ticket,1,wait
Case 81,assign-seriousness take-in-charge-ticket wait,2,wait
Case 81,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 81,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 81,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 82,assign-seriousness,0,take-in-charge-ticket
Case 82,assign-seriousness take-in-charge-ticket,1,wait
Case 82,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 82,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 83,assign-seriousness,0,take-in-charge-ticket
Case 83,assign-seriousness take-in-charge-ticket,1,wait
Case 83,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 83,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 84,assign-seriousness,0,take-in-charge-ticket
Case 84,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 84,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 85,assign-seriousness,0,take-in-charge-ticket
Case 85,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 85,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 86,assign-seriousness,0,take-in-charge-ticket
Case 86,assign-seriousness take-in-charge-ticket,1,wait
Case 86,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 86,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 87,assign-seriousness,0,take-in-charge-ticket
Case 87,assign-seriousness take-in-charge-ticket,1,wait
Case 87,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,take-in-charge-ticket
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket,4,wait
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait,5,resolve-ticket
Case 87,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait resolve-ticket,6,closed
Case 88,assign-seriousness,0,assign-seriousness
Case 88,assign-seriousness assign-seriousness,1,wait
Case 88,assign-seriousness assign-seriousness wait,2,take-in-charge-ticket
Case 88,assign-seriousness assign-seriousness wait take-in-charge-ticket,3,resolve-ticket
Case 88,assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket,4,closed
Case 89,assign-seriousness,0,take-in-charge-ticket
Case 89,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 89,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 90,assign-seriousness,0,take-in-charge-ticket
Case 90,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 90,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 91,assign-seriousness,0,take-in-charge-ticket
Case 91,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 91,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 92,assign-seriousness,0,take-in-charge-ticket
Case 92,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 92,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 93,assign-seriousness,0,take-in-charge-ticket
Case 93,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 93,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 94,assign-seriousness,0,take-in-charge-ticket
Case 94,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 94,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 95,assign-seriousness,0,take-in-charge-ticket
Case 95,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 95,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 96,assign-seriousness,0,take-in-charge-ticket
Case 96,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 96,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 96,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 97,assign-seriousness,0,take-in-charge-ticket
Case 97,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 97,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 98,assign-seriousness,0,take-in-charge-ticket
Case 98,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 98,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 99,assign-seriousness,0,take-in-charge-ticket
Case 99,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 99,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 100,assign-seriousness,0,take-in-charge-ticket
Case 100,assign-seriousness take-in-charge-ticket,1,require-upgrade
Case 100,assign-seriousness take-in-charge-ticket require-upgrade,2,resolve-ticket
Case 100,assign-seriousness take-in-charge-ticket require-upgrade resolve-ticket,3,closed
Case 101,insert-ticket,0,assign-seriousness
Case 101,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 101,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 101,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 102,assign-seriousness,0,take-in-charge-ticket
Case 102,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 102,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 103,assign-seriousness,0,assign-seriousness
Case 103,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 103,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait
Case 103,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket
Case 103,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,create-sw-anomaly
Case 103,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly,5,resolve-ticket
Case 103,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket,6,closed
Case 104,assign-seriousness,0,take-in-charge-ticket
Case 104,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 104,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 105,assign-seriousness,0,take-in-charge-ticket
Case 105,assign-seriousness take-in-charge-ticket,1,wait
Case 105,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 105,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 106,assign-seriousness,0,resolve-ticket
Case 106,assign-seriousness resolve-ticket,1,closed
Case 107,assign-seriousness,0,take-in-charge-ticket
Case 107,assign-seriousness take-in-charge-ticket,1,wait
Case 107,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 107,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 108,assign-seriousness,0,take-in-charge-ticket
Case 108,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 108,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 109,assign-seriousness,0,take-in-charge-ticket
Case 109,assign-seriousness take-in-charge-ticket,1,wait
Case 109,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 109,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 109,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 110,assign-seriousness,0,take-in-charge-ticket
Case 110,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 110,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 111,assign-seriousness,0,take-in-charge-ticket
Case 111,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 111,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 111,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,wait
Case 111,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,4,take-in-charge-ticket
Case 111,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 111,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 112,assign-seriousness,0,take-in-charge-ticket
Case 112,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 112,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 113,insert-ticket,0,assign-seriousness
Case 113,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 113,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 113,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 114,assign-seriousness,0,take-in-charge-ticket
Case 114,assign-seriousness take-in-charge-ticket,1,wait
Case 114,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 114,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,wait
Case 114,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,resolve-ticket
Case 114,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket,5,closed
